"SITE_ID","VISIT_NO","MCYST_TL_UGL","SITE_TYPE","LAKE_SAMP","BASINAREA_KM2","BASINAREA_HA","BASINAREA_LU_KM2","MISSDATA_KM2_BSN","NLCD11_KM2_BSN","NLCD12_KM2_BSN","NLCD21_KM2_BSN","NLCD22_KM2_BSN","NLCD23_KM2_BSN","NLCD24_KM2_BSN","NLCD31_KM2_BSN","NLCD32_KM2_BSN","NLCD41_KM2_BSN","NLCD42_KM2_BSN","NLCD43_KM2_BSN","NLCD51_KM2_BSN","NLCD52_KM2_BSN","NLCD71_KM2_BSN","NLCD72_KM2_BSN","NLCD73_KM2_BSN","NLCD74_KM2_BSN","NLCD81_KM2_BSN","NLCD82_KM2_BSN","NLCD90_KM2_BSN","NLCD91_KM2_BSN","NLCD92_KM2_BSN","NLCD93_KM2_BSN","NLCD94_KM2_BSN","NLCD95_KM2_BSN","NLCD96_KM2_BSN","NLCD97_KM2_BSN","NLCD98_KM2_BSN","NLCD99_KM2_BSN","LANDUSE_KM2_BSN","PCT_OPENH20_BSN","PCT_ICESNOW_BSN","PCT_WATER_BSN","PCT_DEVOPEN_BSN","PCT_DEVLOW_BSN","PCT_DEVMED_BSN","PCT_DEVHIGH_BSN","PCT_DEVELOPED_BSN","PCT_BARREN_BSN","PCT_DECID_BSN","PCT_CONIF_BSN","PCT_MIXED_BSN","PCT_FOREST_BSN","PCT_SHRUBLAND_BSN","PCT_GRASS_BSN","PCT_PASTURE_BSN","PCT_CROPS_BSN","PCT_AGRIC_BSN","PCT_WDYWET_BSN","PCT_EMHERBWET_BSN","PCT_WETLAND_BSN","FLAG_LU_BASIN","COMMENT_LU_BASIN","SECMEAN","DATE_COL","LAT_DD","LON_DD","LAKEAREA","LAKENAME","AREA_HA","DEPTHMAX","ELEV_PT","HUC_2","HUC_8","PTL","NTL","TURB","ANC","DOC","COND","CHLA","DEPTH_SURF","TEMP_SURF","DO_SURF","COND_SURF","PH_SURF","DEPTH_BOT","TEMP_BOT","DO_BOT","COND_BOT","PH_BOT"
"NLA06608-0426",1,0.53,"PROB_Lake","Target_Sampled",7.085521907,708.5521907,7.085521907,0,1.805,0,0.356,0.259,0,0,0,0,2.358,0.267,0.085,0,0.115,0.662,0,0,0,0.02,0.048,0.965,0,0,0,0,0.151,0,0,0,0,7.091,25.5,0,25.5,5,3.7,0,0,8.7,0,33.3,3.8,1.2,38.3,1.6,9.3,0.3,0.7,1,13.6,2.1,15.7,"","",3.6,"9/17/2007",43.8382238,-85.07388127,1.599850198,"Eight Point Lake",159.9850198,7.7,319.89,4,4080202,5,574,1.48,1689.7,6.2,206,3.12,0,16.9,9.6,151,7.4,7.2,16.7,1.4,157,8.1
"NLA06608-0432",1,0.05,"PROB_Lake","Target_Sampled",2570.762187,257076.2187,2570.762187,0,75.723,0,122.911,51.639,13.645,2.47,3.164,0,466.556,110.552,62.915,0,410.845,7.85,0,0,0,592.854,472.05,161.978,0,0,0,0,15.595,0,0,0,0,2570.747,2.9,0,2.9,4.8,2,0.5,0.1,7.4,0.1,18.1,4.3,2.4,24.8,16,0.3,23.1,18.4,41.5,6.3,0.6,6.9,"","",0.31,"7/16/2007",34.72092203,-90.07170002,39.0784138,"Arkabutla Lake",3907.84138,5.5,65.5,8,8030204,218,644,60.1,421,3.88,66,24.8,0,28.03,6.06,67,7.41,5,26.88,2.17,76,6.91
"NLA06608-0433",1,0.05,"PROB_Lake","Target_Sampled",18844.17595,1884417.595,18844.17595,735.129,1453.566,0,574.871,257.837,103.695,27.371,17.762,0,5954.298,2935.861,2603.786,0,329.748,124.238,0,0,0,1793.951,887.39,961.475,0,0,0,0,83.166,0,0,0,0,18844.144,7.7,0,7.7,3.1,1.4,0.6,0.1,5.2,0.1,31.6,15.6,13.8,61,1.7,0.7,9.5,4.7,14.2,5.1,0.4,5.5,"","",5.05,"8/9/2007",44.52251138,-73.29262702,1073.599005,"Lake Champlain",107359.9005,97,28.84,2,2010000,7,422,0.712,995.5,2.77,171,1.68,0.200000003,21.5,8.7,161.7,8,97,5,11,160.6,7.5
"NLA06608-0435",1,0.69,"PROB_Lake","Target_Sampled",45.73855548,4573.855548,45.73855548,0,2.815,0,0.911,0,0,0,0,0,28.462,1.571,2.129,0,0.306,0.107,0,0,0,0.077,0.603,7.484,0,0,0,0,1.27,0,0,0,0,45.735,6.2,0,6.2,2,0,0,0,2,0,62.2,3.4,4.7,70.3,0.7,0.2,0.2,1.3,1.5,16.4,2.8,19.2,"","",0.8,"7/23/2007",45.16826567,-90.69813817,3.686973816,"Chequamegon Flowage",368.6973816,5.2,383.09,7,7050005,78,1824,9.08,605.4,17.78,80,23.2,0,22.9,5.62,NA,6.82,4.5,22.6,4,NA,6.52
"NLA06608-0436",1,0.05,"PROB_Lake","Target_Sampled",4000.763172,400076.3172,4000.763172,0,194.873,0,158.252,51.677,13.945,5.561,1.8,0,1627.509,821.732,622.76,0,22.105,71.307,0,0,0,392.356,2.122,14.296,0,0,0,0,0.502,0,0,0,0,4000.797,4.9,0,4.9,4,1.3,0.3,0.1,5.7,0,40.7,20.5,15.6,76.8,0.6,1.8,9.8,0.1,9.9,0.4,0,0.4,"","",1.52,"9/5/2007",34.45197764,-92.9382529,5.001143836,"Lake Catherine",500.1143836,8.2,91.08,8,8040101,29,398,2.41,453.6,3.12,73,18.22,0,24.6,8.2,NA,7.6,7.5,17.4,3.8,NA,6.5
"NLA06608-0439",1,7.8,"PROB_Lake","Lake_Shallow",8.996990048,899.6990048,8.996990048,0,1.231,0,0.221,0.005,0,0,0,0,0.013,0,0,0,0.49,4.145,0,0,0,1.348,1.506,0,0,0,0,0,0.042,0,0,0,0,9.001,13.7,0,13.7,2.5,0.1,0,0,2.6,0,0.1,0,0,0.1,5.4,46.1,15,16.7,31.7,0,0.5,0.5,"","",0.1,"6/27/2007",45.6434979,-99.23111059,0.174838959,"",17.48389586,0.9,594.19,10,10160007,1056,19200,103,9273.1,66.98,2682,377.28,0,20.5,4.7,2293,8.66,0.8,20.5,4.34,2286.7,8.71
"NLA06608-0440",1,0.05,"PROB_Lake","Target_Sampled",41.47348549,4147.348549,41.47348549,0,2.516,0,2.485,0.008,0.01,0,0.014,0,1.082,0.006,0,0,0,19.67,0,0,0,0,15.692,0,0,0,0,0,0,0,0,0,0,41.483,6.1,0,6.1,6,0,0,0,6,0,2.6,0,0,2.6,0,47.4,0,37.8,37.8,0,0,0,"","",0.64,"8/8/2007",36.23894258,-97.34810228,1.796547197,"Perry Lake",179.6547197,9,329.73,11,11060006,182,853,103,1342.9,4.85,202,5.46,0.1,28.13,5.07,201.3,7.76,9,23.48,0.1,188,6.95
"NLA06608-0442",1,2.1,"PROB_Lake","Target_Sampled",31.36362524,3136.362524,31.36362524,0,2.556,0,1.417,0.415,0,0,0,0,0.077,0,0,0,0,6.456,0,0,0,0,18.817,0.041,0,0,0,0,1.576,0,0,0,0,31.355,8.1,0,8.1,4.5,1.3,0,0,5.8,0,0.2,0,0,0.2,0,20.6,0,60,60,0.1,5,5.1,"","",0.76,"8/14/2007",48.28610194,-101.9047579,0.301718505,"",30.17185053,2.2,659.73,10,10110101,385,6559,8.19,12893.2,67.34,2360,4.5,0,19.7,6.7,2390,8.8,2.2,19.2,4,2395,8.8
"NLA06608-0444",1,0.05,"PROB_Lake","Target_Sampled",0.662718791,66.27187911,0.662718791,0,0.082,0,0.263,0.062,0,0,0,0,0.086,0.008,0.011,0,0.092,0,0,0,0,0.029,0.015,0.016,0,0,0,0,0,0,0,0,0,0.664,12.4,0,12.4,39.7,9.4,0,0,49.1,0,13,1.2,1.7,15.9,13.9,0,4.4,2.3,6.7,2.4,0,2.4,"","",NA,"7/12/2007",34.16578918,-89.91161609,0.043988991,"Enid View Drive Lake",4.398899052,NA,92.35,8,8030203,42,383,15.5,71.8,3.72,26,10.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NLA06608-0445",1,0.05,"PROB_Lake","Target_Sampled",12.38177893,1238.177893,12.38177893,0,0.446,0,1.337,0.373,0.13,0.014,0,0,5.044,0.074,0,0,0,0.485,0,0,0,3.246,1.235,0,0,0,0,0,0,0,0,0,0,12.384,3.6,0,3.6,10.8,3,1,0.1,14.9,0,40.7,0.6,0,41.3,0,3.9,26.2,10,36.2,0,0,0,"","",1.47,"6/28/2007",40.04075657,-81.01548859,0.430430732,"Belmont Lake",43.04307317,8.4,322.66,5,5030106,15,336,3.55,1682.5,3.54,385,6.85,0,26.8,9.3,394,7.8,8,7.4,0.4,249.4,6.6
"NLA06608-0447",1,0.05,"PROB_Lake","Target_Sampled",14.16432904,1416.432904,14.16432904,0,0.748,0,0.412,0.068,0.006,0,0,0,12.507,0.094,0.058,0,0.004,0.098,0,0,0,0.173,0,0,0,0,0,0,0,0,0,0,0,14.168,5.3,0,5.3,2.9,0.5,0,0,3.4,0,88.3,0.7,0.4,89.4,0,0.7,1.2,0,1.2,0,0,0,"","",4.5,"8/25/2007",38.47961378,-82.87603537,0.704560861,"Greenbo Lake",70.45608606,14.8,182.27,5,5090104,3,79,0.573,316.5,2.48,97,1.21,0,28.5,NA,104.1,7.1,14.3,7.1,NA,79.8,6.5
"NLA06608-0449",1,0.05,"PROB_Lake","Target_Sampled",38.24981775,3824.981775,38.24981775,0,0.737,0,0.208,0.153,0.1,0,0,0,0.062,29.501,0,0,5.34,1.739,0,0,0,0.139,0,0.15,0,0,0,0,0.131,0,0,0,0,38.26,1.9,0,1.9,0.5,0.4,0.3,0,1.2,0,0.2,77.1,0,77.3,14,4.5,0.4,0,0.4,0.4,0.3,0.7,"","",1.95,"7/26/2007",48.13580369,-117.6915241,0.48192434,"Jump-off Joe Lake",48.19243402,5.8,619.91,17,17020003,16,404,2.56,2257.6,2.81,215,4.39,0,24.5,11.2,234,9.2,5.3,21.5,0.8,312,7.8
"NLA06608-0452",1,0.05,"PROB_Lake","Target_Sampled",1.695570369,169.5570369,1.695570369,0,0.207,0,0.152,0.838,0.348,0.072,0,0,0.007,0,0,0,0.005,0.019,0,0,0,0,0,0.047,0,0,0,0,0,0,0,0,0,1.695,12.2,0,12.2,9,49.4,20.5,4.2,83.1,0,0.4,0,0,0.4,0.3,1.1,0,0,0,2.8,0,2.8,"","",1.21,"6/15/2007",39.80684554,-105.0360311,0.053910156,"Jim Baker Reservoir",5.391015571,7.2,1590.47,10,10190004,37,604,3.59,3467.9,5.32,694,7.25,0,21.3,8.3,684,8.7,6.5,16.7,0,689,7.8
"NLA06608-0453",1,0.05,"PROB_Lake","Target_Sampled",30.36207375,3036.207375,30.36207375,0,7.483,0,4.89,5.117,1.293,0.191,0.2,0,0,0.662,0,0,0.19,0.792,0,0,0,4.97,1.698,1.93,0,0,0,0,0.948,0,0,0,0,30.364,24.6,0,24.6,16.1,16.9,4.3,0.6,37.9,0.7,0,2.2,0,2.2,0.6,2.6,16.4,5.6,22,6.4,3.1,9.5,"","",0.75,"7/31/2007",28.57332363,-81.77025392,7.430730589,"Lake Minneola",743.0730589,3.9,28.99,3,3080102,48,1056,2.36,68.4,19.64,93,4.31,0,28.9,7.2,92,5.8,3.4,28.7,7.1,92,5.8
"NLA06608-0454",1,0.05,"PROB_Lake","Target_Sampled",49.98981051,4998.981051,49.98981051,0,2.522,0,5.759,7.915,6.617,1.239,0.042,0,11.545,3.72,1.103,0,0.321,0.526,0,0,0,1.539,0.539,6.326,0,0,0,0,0.27,0,0,0,0,49.983,5,0,5,11.5,15.8,13.2,2.5,43,0.1,23.1,7.4,2.2,32.7,0.6,1.1,3.1,1.1,4.2,12.7,0.5,13.2,"","",NA,"7/25/2007",41.97098891,-71.19898937,2.024298506,"Norton Reservoir",202.4298506,2.2,30.85,1,1090004,16,367,1.67,347.4,4.88,327,3.2,0,26.1,8.13,325,7.4,1.5,24.7,8.57,315,7.43
"NLA06608-0456",1,0.26,"PROB_Lake","Target_Sampled",1989.653583,198965.3583,1989.653583,0,100.261,0,118.636,63.777,31.055,8.326,1.026,0,266.357,15.755,0.085,0,0.429,803.435,0,0,0,251.726,312.853,10.778,0,0,0,0,5.191,0,0,0,0,1989.69,5,0,5,6,3.2,1.6,0.4,11.2,0.1,13.4,0.8,0,14.2,0,40.4,12.7,15.7,28.4,0.5,0.3,0.8,"","",1.1,"8/9/2007",33.06325702,-96.47583806,92.88403959,"Lavon Lake",9288.403959,12.7,143.86,12,12030106,29,681,3.66,2417.6,5.11,451,25.1,0,29.1,7.2,462.8,8.1,12.2,24.4,0,627.5,7
"NLA06608-0458",1,0.41,"PROB_Lake","Target_Sampled",1470.016599,147001.6599,1470.016599,0,12.986,0,66.247,29.857,6.511,3.123,1.351,0,98.669,251.706,63.311,0,2.551,85.765,0,0,0,138.102,516.831,171.437,0,0,0,0,21.578,0,0,0,0,1470.025,0.9,0,0.9,4.5,2,0.4,0.2,7.1,0.1,6.7,17.1,4.3,28.1,0.2,5.8,9.4,35.2,44.6,11.7,1.5,13.2,"","",1.15,"7/25/2007",31.16378198,-83.54189637,1.280576834,"Reed Bingham Lake",128.0576834,3.7,57.42,3,3110204,39,947,5.74,455.6,10.56,99,15.06,0,29.57,7.06,99,8.95,3,28.24,5.97,97,8.07
"NLA06608-0459",1,0.33,"PROB_Lake","Target_Sampled",12.0252632,1202.52632,12.0252632,0,0.588,0,1.344,0.689,0.103,0.005,0.008,0,3.108,0.374,0.397,0,1.138,0.063,0,0,0,3.68,0.463,0.068,0,0,0,0,0,0,0,0,0,12.028,4.9,0,4.9,11.2,5.7,0.9,0,17.8,0.1,25.8,3.1,3.3,32.2,9.5,0.5,30.6,3.9,34.5,0.6,0,0.6,"","",2.63,"7/16/2007",34.2269109,-86.84234494,0.729504041,"Lake George",72.95040407,9.6,247.04,3,3160109,8,200,1.35,584.4,3.66,87,3.98,0,28.7,8.6,90.6,8.61,9,14.5,0.2,94.8,6.4
"NLA06608-0462",1,0.05,"PROB_Lake","Target_Sampled",19.67049436,1967.049436,19.67049436,0,6.71,0,0.357,0,0,0,0,0,2.68,3.611,5.416,0,0.021,0.006,0,0,0,0,0,0.861,0,0,0,0,0.005,0,0,0,0,19.667,34.1,0,34.1,1.8,0,0,0,1.8,0,13.6,18.4,27.5,59.5,0.1,0,0,0,0,4.4,0,4.4,"","",7.95,"8/20/2007",46.19906329,-89.29397704,1.497868259,"Loon Lake",149.7868259,13,522.69,7,7070001,3,194,0.647,55.4,2.17,14,NA,0,20.9,8.2,NA,8,13,13.9,3.2,NA,5.8
"NLA06608-0463",1,0.21,"PROB_Lake","Target_Sampled",2117.272775,211727.2775,2117.272775,0,89.87,0,348.124,213.512,77.064,28.858,6.957,0,400.554,14.077,18.319,0,4.042,39.641,0,0,0,281.015,264.966,289.977,0,0,0,0,40.284,0,0,0,0,2117.26,4.2,0,4.2,16.4,10.1,3.6,1.4,31.5,0.3,18.9,0.7,0.9,20.5,0.2,1.9,13.3,12.5,25.8,13.7,1.9,15.6,"","",0.58,"8/19/2007",42.21176414,-83.52098213,2.727513592,"Belleville Lake",272.7513592,5.8,198.31,4,4090005,82,1031,9.38,3293.6,6.91,717,30.72,0,24.2,6.2,566,6.7,5.5,24.3,5.5,563,7.3
"NLA06608-0467",1,0.12,"PROB_Lake","Target_Sampled",168.9472021,16894.72021,168.9472021,0,3.789,0,7.463,2.908,0.274,0.094,0.078,0,26.933,1.783,0.159,0,2.415,1.576,0,0,0,22.625,80.871,5.423,0,0,0,0,12.559,0,0,0,0,168.95,2.2,0,2.2,4.4,1.7,0.2,0.1,6.4,0,15.9,1.1,0.1,17.1,1.4,0.9,13.4,47.9,61.3,3.2,7.4,10.6,"","",1.1,"7/9/2007",43.54592149,-89.36445641,1.835188922,"Swan Lake",183.5188922,24.5,237.25,4,4030201,15,788,3.53,3561.1,6.22,397,12.72,0,27,8.4,398,8.8,24,6.13,0.19,505,7.45
"NLA06608-0468",1,0.05,"PROB_Lake","Target_Sampled",13.30346544,1330.346544,13.30346544,0,0.144,0.176,0,0,0,0,7.372,0,0.068,2.223,0,0,0,2.879,0,0,0,0,0,0.431,0,0,0,0,0.014,0,0,0,0,13.307,1.1,1.3,2.4,0,0,0,0,0,55.4,0.5,16.7,0,17.2,0,21.6,0,0,0,3.2,0.1,3.3,"","",7.1,"8/1/2007",39.43240936,-106.6003635,0.067801728,"Eagle Lake",6.780172834,13.9,3068.4,14,14010004,8,179,0.377,179.6,1.24,28,0.64,0,14.4,7.5,27,7.6,13,6.5,3.9,24,6.6
"NLA06608-0469",1,0.05,"PROB_Lake","Target_Sampled",5.489898314,548.9898314,5.489898314,0,0.137,0,0.238,0.007,0,0,0,0,2.777,0.256,0.496,0,0,0.025,0,0,0,1.388,0.149,0.011,0,0,0,0,0.009,0,0,0,0,5.493,2.5,0,2.5,4.3,0.1,0,0,4.4,0,50.6,4.7,9,64.3,0,0.5,25.3,2.7,28,0.2,0.2,0.4,"","",4,"8/29/2007",41.90973411,-75.33783928,0.127123197,"Starlight Lake",12.71231975,11.5,413.35,2,2040101,11,191,1.19,294.9,2.41,63,3.35,0,22.8,8.2,57,6.7,10.5,6,0,96,7
"NLA06608-0470",1,0.05,"PROB_Lake","Target_Sampled",7.903976144,790.3976144,7.903976144,0,1.327,0,0.206,0.025,0,0,0.05,0,0.529,1.053,3.641,0,0.178,0.121,0,0,0,0.297,0.013,0.458,0,0,0,0,0.006,0,0,0,0,7.904,16.8,0,16.8,2.6,0.3,0,0,2.9,0.6,6.7,13.3,46.1,66.1,2.3,1.5,3.8,0.2,4,5.8,0.1,5.9,"","",5.75,"7/24/2007",43.62308804,-71.2654292,1.328445725,"Mirror Lake",132.8445725,11.4,155.18,1,1070002,8,193,0.663,180.6,4.15,66,1.51,0,23.8,8.6,40.9,7.2,11.4,10.9,0.3,33.1,6
"NLA06608-0471",1,0.32,"PROB_Lake","Target_Sampled",107.094389,10709.4389,107.094389,0,11.565,0,2.279,0.157,0.009,0.002,0.006,0,0.546,0,0,0,0.014,79.386,0,0,0,0.113,7.792,0.042,0,0,0,0,5.181,0,0,0,0,107.092,10.8,0,10.8,2.1,0.1,0,0,2.2,0,0.5,0,0,0.5,0,74.1,0.1,7.3,7.4,0,4.8,4.8,"","",1.77,"6/25/2007",45.44015743,-97.2623188,8.571952963,"Enemy Swim Lake",857.1952963,7.6,564.78,10,10160010,24,839,3.25,4278.3,7.87,407,5.52,0,23.2,8.5,418,8.4,7.5,22.2,5.2,416,8.2
"NLA06608-0472",1,1.5,"PROB_Lake","Target_Sampled",36.29551652,3629.551652,36.29551652,0,1.661,0,1.599,0.073,0,0,0,0,12.959,0,0,0,0,10.75,0,0,0,9.148,0.113,0,0,0,0,0,0,0,0,0,0,36.303,4.6,0,4.6,4.4,0.2,0,0,4.6,0,35.7,0,0,35.7,0,29.6,25.2,0.3,25.5,0,0,0,"","",0.39,"7/16/2007",34.57061143,-96.23835676,1.589734793,"Coalgate Reservoir",158.9734793,8,186,11,11140103,78,803,25,725.9,9.57,91,19.2,0.1,29.5,6.75,57.6,7.42,8,16.37,0.09,94.9,6.49
"NLA06608-0473",1,0.52,"PROB_Lake","Target_Sampled",10612.70753,1061270.753,10612.70753,0,89.168,0,923.274,284.428,84.165,32.819,7.77,0,4649.512,689.361,306.664,0,213.234,417.607,0,0,0,2787.983,80.277,45.152,0,0,0,0,1.28,0,0,0,0,10612.694,0.8,0,0.8,8.7,2.7,0.8,0.3,12.5,0.1,43.8,6.5,2.9,53.2,2,3.9,26.3,0.8,27.1,0.4,0,0.4,"","",1.03,"6/19/2007",35.51629478,-80.20338458,9.090342354,"Tuckertown Reservoir",909.0342354,15.3,170.71,3,3040103,55,714,4.81,572.1,3.09,100,36.82,0,28.8,NA,105.4,9.5,15,23.9,NA,104,6.8
"NLA06608-0479",1,0.05,"PROB_Lake","Target_Sampled",12.01559159,1201.559159,12.01559159,0,0.384,0,1.357,3.205,4.692,2.081,0.14,0,0.155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.014,3.2,0,3.2,11.3,26.7,39,17.3,94.3,1.2,1.3,0,0,1.3,0,0,0,0,0,0,0,0,"","",2.92,"8/16/2007",39.92061781,-83.00425479,0.182754599,"Anderson Lake",18.27545989,5.5,209.24,5,5060001,14,318,2.39,1691.2,3.08,581,5.3,0,28,6.5,569,8.4,5,26.8,3.5,580,7.6
"NLA06608-0480",1,0.13,"PROB_Lake","Target_Sampled",4.966602698,496.6602698,4.966602698,0,0.204,0,0.66,0.003,0,0,0,0,3.431,0.167,0.155,0,0,0.251,0,0,0,0.073,0,0.019,0,0,0,0,0,0,0,0,0,4.963,4.1,0,4.1,13.3,0.1,0,0,13.4,0,69.1,3.4,3.1,75.6,0,5.1,1.5,0,1.5,0.4,0,0.4,"","",5.21,"8/24/2007",37.99433764,-90.54213897,0.162435341,"Lake Timberline",16.24353412,15.9,239.95,7,7140104,3,194,0.679,3225.1,2.79,322,1.52,0,28.9,6.6,NA,8.3,15,7.5,0.3,NA,7.3
"NLA06608-0483",1,0.05,"PROB_Lake","Target_Sampled",385300.3904,38530039.04,385300.3904,98668.305,547.224,1.334,2085.198,953.186,295.529,70.392,4307.346,0,1807.036,29779.241,382.823,0,190480.313,51285.314,0,0,0,1159.745,2193.264,870.975,0,0,0,0,413.008,0,0,0,0,385300.233,0.1,0,0.1,0.5,0.2,0.1,0,0.8,1.1,0.5,7.7,0.1,8.3,49.4,13.3,0.3,0.6,0.9,0.2,0.1,0.3,"","",4.32,"7/11/2007",29.49147018,-101.1563449,141.3001792,"Amistad Reservoir",14130.01792,41.6,336.66,13,13040212,4,461,0.851,2210,2.93,990,3.84,0,27.6,7.5,996,8.4,41,19.6,2.3,1107,7.5
"NLA06608-0484",1,2.5,"PROB_Lake","Target_Sampled",20.74542773,2074.542773,20.74542773,0,0.293,0,0.565,0,0,0,0,0,8.478,0.186,0,0,0.079,0.406,0,0,0,4.586,5.896,0.251,0,0,0,0,0.008,0,0,0,0,20.748,1.4,0,1.4,2.7,0,0,0,2.7,0,40.9,0.9,0,41.8,0.4,2,22.1,28.4,50.5,1.2,0,1.2,"","",0.28,"7/12/2007",36.3106781,-88.48981792,0.373149849,"Barrs Chapel Lake",37.31498489,1.2,125.56,8,8010203,190,1519,19.4,607,5.41,79,126.4,0,29.1,4.9,NA,7.3,1,27.7,1.7,NA,6.9
"NLA06608-0488",1,0.05,"PROB_Lake","Target_Sampled",27.05114084,2705.114084,27.05114084,0,0.268,0,0.478,0.021,0,0,0,0,3.488,0,0.015,0,0,7.788,0,0,0,13.316,1.66,0.013,0,0,0,0,0,0,0,0,0,27.047,1,0,1,1.8,0.1,0,0,1.9,0,12.9,0,0.1,13,0,28.8,49.2,6.1,55.3,0,0,0,"","",0.45,"7/19/2007",37.19249014,-95.98672528,0.134819563,"Bee Creek Lake",13.48195629,3.6,252.08,11,11070106,162,1070,16.3,1652.2,7.85,180,49.68,0,29,9.1,173,7.3,3.4,18.8,0,299,6.5
"NLA06608-0489",1,1.8,"PROB_Lake","Target_Sampled",11.35294929,1135.294929,11.35294929,0,0.142,0,0.946,0.256,0.021,0,0.04,0,2.292,0.371,0.293,0,0,0,0,0,0,6.067,0.889,0.014,0,0,0,0,0.023,0,0,0,0,11.354,1.3,0,1.3,8.3,2.3,0.2,0,10.8,0.4,20.2,3.3,2.6,26.1,0,0,53.4,7.8,61.2,0.1,0.2,0.3,"","",0.5,"7/10/2007",38.49363215,-78.00762524,0.216274186,"Bald Run Reservoir",21.62741859,2.5,115.8,2,2080103,107,1275,14.6,837.3,11.7,135,24.32,0,30.74,12,140,9.3,2,25.6,2.3,136,8
"NLA06608-0491",1,1.2,"PROB_Lake","Target_Sampled",92.84534182,9284.534182,92.84534182,0,14.801,0,8.455,2.361,0.337,0.06,0,0,12.72,0.219,0,0,0.207,0.307,0,0,0,1.498,45.669,2.277,0,0,0,0,3.932,0,0,0,0,92.843,15.9,0,15.9,9.1,2.5,0.4,0.1,12.1,0,13.7,0.2,0,13.9,0.2,0.3,1.6,49.2,50.8,2.5,4.2,6.7,"","",NA,"7/17/2007",41.41314405,-85.734175,0.531359245,"Mud Lake",53.13592451,1.3,261.61,4,4050001,16,665,1.59,3104.5,7,429,7.2,0,24.3,5.9,NA,7.1,1,24.3,5.7,NA,7.1
"NLA06608-0493",1,0.29,"PROB_Lake","Target_Sampled",193.231788,19323.1788,193.231788,0,3.311,0,9.148,4.054,1.251,0.182,1.04,0,81.077,11.29,1.003,0,0,0,0,0,0,66.044,13.304,0.616,0,0,0,0,0.916,0,0,0,0,193.236,1.7,0,1.7,4.7,2.1,0.6,0.1,7.5,0.5,42,5.8,0.5,48.3,0,0,34.2,6.9,41.1,0.3,0.5,0.8,"","",1.52,"7/11/2007",38.77124892,-77.64555522,2.889176192,"Manassas",288.9176192,15.1,86.34,2,2070010,15,353,3.3,707.6,3.48,175,9.47,0,29.3,9.1,179,8.2,14,9.8,0.1,254,6.9
"NLA06608-0494",1,0.05,"PROB_Lake","Target_Sampled",115.0068368,11500.68368,115.0068368,0,12.006,0,1.705,0.281,0.022,0.006,0.113,0,62.169,16.073,0.096,0,7.368,2.135,0,0,0,3.776,1.385,3.375,0,0,0,0,4.486,0,0,0,0,114.996,10.4,0,10.4,1.5,0.2,0,0,1.7,0.1,54.1,14,0.1,68.2,6.4,1.9,3.3,1.2,4.5,2.9,3.9,6.8,"","",1.65,"7/11/2007",46.82219046,-94.53354023,6.310209246,"Pine Mountian Lake",631.0209246,23.5,403.19,7,7010105,4,401,3.64,2956.6,5.02,280,24.64,0,22.6,7.4,272,8.1,22,7.9,0.1,339.5,7.1
"NLA06608-0495",1,0.05,"PROB_Lake","Target_Sampled",9427.36745,942736.745,9427.36745,0,50.486,2.492,37.821,14.25,3.397,0.28,403.545,0,1211.457,3589.775,115.556,0,2014.797,1640.884,0,0,0,160.811,0.021,164.009,0,0,0,0,17.773,0,0,0,0,9427.354,0.5,0,0.5,0.4,0.2,0,0,0.6,4.3,12.9,38.1,1.2,52.2,21.4,17.4,1.7,0,1.7,1.7,0.2,1.9,"","",4.68,"9/5/2007",38.44681794,-107.4380582,3.679212786,"Morrow Point Reservoir",367.9212786,44.5,2185.23,14,14020002,11,136,0.72,1517.5,2.26,196,1.77,0,16.2,7.9,183,8.3,44,5.6,6.4,200,7.6
"NLA06608-0496",1,0.38,"PROB_Lake","Target_Sampled",4.653310892,465.3310892,4.653310892,0,0.052,0,0.049,0.005,0,0,0,0,0,0.005,0,0,0.883,1.755,0,0,0,0,1.827,0.005,0,0,0,0,0.076,0,0,0,0,4.657,1.1,0,1.1,1.1,0.1,0,0,1.2,0,0,0.1,0,0.1,19,37.7,0,39.3,39.3,0.1,1.6,1.7,"","",NA,"6/23/2007",48.75171319,-108.0524686,0.124412271,"",12.44122713,1.9,888.42,10,10050010,620,4372,2.27,6451.3,41.92,3410,0.69,0,22.7,10.8,NA,9.7,1.4,22.6,11,NA,9.7
"NLA06608-0497",1,0.05,"PROB_Lake","Target_Sampled",0.694378843,69.43788429,0.694378843,0,0.347,0,0.039,0,0,0,0,0,0,0,0,0,0.198,0.066,0,0,0,0,0.04,0.008,0,0,0,0,0,0,0,0,0,0.698,50,0,50,5.6,0,0,0,5.6,0,0,0,0,0,28.5,9.5,0,5.8,5.8,1.2,0,1.2,"","",1.42,"8/17/2007",42.10765269,-111.8159376,0.342264253,"Lamont Reservoir",34.22642526,9.6,1485,16,16010202,17,156,4.91,2438.9,1.44,237,0.86,0,23.4,6.8,229,8.4,9.2,18.8,0.2,267,7.8
