SITE_ID,VISIT_NO,INDXSAMP_INF,CORE_CONFIDENCE,COMMENT_CONFIDENCE,NUT_REG_INF,NUT_REG,LAKE_ORIGIN,LAKE_ORIGIN_INF,REF_CLUSTER,WSA_ECO9,SITE_TYPE,ST,LAKENAME,RT_NLA,PH_FIELD,COND,NTL,PTL,DOC,PTL_INF_TOP,PTL_INF_BOT,PTL_INF_DIF,PTL_SIGTEST,NTL_INF_TOP,NTL_INF_BOT,NTL_INF_DIF,NTL_SIGTEST,COND_INF_TOP,COND_INF_BOT,COND_INF_DIF,COND_SIGTEST,PH_INF_TOP,PH_INF_BOT,PH_INF_DIF,PH_SIGTEST,ELEV_PT,DOM_GEOL,ECO3_PT,LAKEAREA_KM2,BASINAREA_KM2,BASIN_LAKE_RATIO,PC_DISTOT,PC_URB,PC_URB_INT,PC_CROP,PC_AG,PC_WET
NLA06608-0183,1,YES,UNCERTAIN,"forest, ag, shoreline dev",7,VII,Natural,1,C,UMW,PROB_Lake,WI,Wapogasset Lake,SO-SO,9.27,245,907,68,3.73,47.84872488,34.27695869,13.57176619,Yes,948.0339446,819.459,128.5749446,Yes,287.5327565,230.5867665,56.94599006,Yes,8.49546047,8.511052705,-0.015592235,No,51.51,Sedimentary,35,33.51440977,656.1578102,19.57837881,52.38055228,5.831951173,1.094531695,16.85309519,46.54860111,3.798793884
NLA06608-0209,1,YES,UNCERTAIN,,2,II,Natural,1,F,WMT,PROB_Lake,WA,"Sammamish, Lake",TRASH,9.1,107.5,203,5,2.65,55.37516381,18.4354229,36.93974091,Yes,662.0986517,352.1385694,309.9600822,Yes,193.32176,115.1818937,78.13986634,Yes,8.744337945,8.294082291,0.450255655,No,218.37,Granitic,45,5.012487538,271.5880047,54.18228028,33.93942449,31.78003428,21.80177444,0,2.159390211,2.714362803
NLA06608-0211,1,YES,UNCERTAIN,Riparian edge; wetlands; upstream lakes; shrt core,7,VII,Natural,1,E,UMW,PROB_Lake,MN,Allen Lake,REF,9.2,327,1340,42,16.91,37.03542271,14.01240597,23.02301675,Yes,1657.027615,668.2386159,988.7889988,Yes,374.5334819,444.7020478,-70.16856588,Yes,8.780840279,8.678202521,0.102637758,No,888.42,Sedimentary,42,0.124412771,4.653310892,37.40219643,49.75936479,3.537346867,0.164527761,26.85915703,46.22201793,10.11845732
NLA06608-0215,1,YES,UNCERTAIN,Lots resid; some AG,7,VII,Natural,1,C,UMW,PROB_Lake,MN,Nest Lake,SO-SO,8.6,389,1463,83,7.95,29.97178517,83.69229477,-53.72050959,Yes,762.0779561,1045.92,-283.8420439,Yes,314.1618327,399.3992158,-85.23738311,Yes,8.498809925,8.420721738,0.078088187,No,672.26,Sedimentary,42,0.707247155,0.70941871,1.003070433,63.68873541,5.63699322,1.672147994,45.34030066,58.05174219,8.269730239
NLA06608-0242,1,YES,UNCERTAIN,"Reservoir, mostly forest, wetland",14,XIV,Man-made,2,B,NAP,PROB_Lake,CT,Pachaug Pond,SO-SO,7.04,62,300,20,4.74,21.116,20.59319543,0.522804573,No,351.8398499,286.8690952,64.97075466,Yes,65.7922994,38.75012507,27.04217433,Yes,7.056728255,6.561555249,0.495173006,No,405.7,Sedimentary,27,7.061360528,623.4689363,88.29303273,14.32622821,6.152340584,2.577472475,2.09438219,8.173887623,17.37118343
NLA06608-0285,1,YES,UNCERTAIN,?,14,XIV,Man-made,2,D,CPL,PROB_Lake,DE,,SO-SO,8.9,151,4222,138,3.67,77.68985473,18.33054576,59.35930897,Yes,1025.426323,490.2035217,535.2228014,Yes,151.1751426,133.9802516,17.19489099,Yes,7.79464642,7.297048432,0.497597988,No,1072.83,Volcanic,4,1.418721127,22.69871004,15.99941638,55.70022448,0.798630098,0.315090919,38.28736265,54.90159438,2.296129673
NLA06608-0293,1,YES,UNCERTAIN,"Lots of urbanization;  looks like natural basin, u",14,XIV,Natural,1,B,NAP,PROB_Lake,CT,,SO-SO,8.93,341,759,30,4.31,7.49784,25.09807647,-17.60023647,Yes,401.7834649,718.8833857,-317.0999208,Yes,223.8279878,183.6569445,40.17104327,Yes,8.608491398,8.235128021,0.373363377,No,133.82,Sedimentary,45,0.342782762,36.50105968,106.4845252,51.50014769,46.06742708,29.61599102,2.179900431,5.432720606,2.622692706
NLA06608-0325,1,YES,UNCERTAIN,?lots of urbanization,12,XII,Natural,1,D,CPL,PROB_Lake,FL,Lawne Lake,SO-SO,8.4,215,814,50,12.48,48.98567033,50.44615808,-1.460487747,No,746.4821934,560.2949588,186.1872347,Yes,193.9590747,158.8667023,35.09237245,Yes,8.055080844,7.985386331,0.069694514,No,92.35,Sedimentary,74,0.043989796,0.662718791,15.06528445,63.44301598,63.44301598,36.5323528,0,0,10.52372303
NLA06608-0333,1,YES,UNCERTAIN,"Reservior; big, little disturb dam;",9,IX,Man-made,2,B,SAP,PROB_Lake,NJ,,SO-SO,7.5,197,282,15,3.03,9.85953,19.88799344,-10.02846344,Yes,552.1814751,749.480878,-197.2994029,Yes,248.6908145,246.203333,2.487481469,Yes,8.375215704,8.466633971,-0.091418267,No,0,Sedimentary,63,0.654748227,24.37629557,37.23002911,2.749452765,0.181196027,0.070902793,2.347670269,2.568256737,2.631281443
NLA06608-0359,1,YES,UNCERTAIN,Very long and skinny; reservoir - dammed stream.,6,VI,Man-made,2,E,TPL,PROB_Lake,SD,Big Stone Lake,SO-SO,8.6,979,1296,191,9.9,173.257726,127.8383491,45.4193769,Yes,2092.897433,1998.279669,94.6177643,Yes,736.8417943,518.5522167,218.2895776,Yes,8.468223319,8.435107877,0.033115442,No,767,Volcanic,12,35.71158719,149.3001837,4.180721033,72.19909445,4.870933705,0.83376786,52.59806269,67.32816075,5.892650838
NLA06608-0363,1,YES,UNCERTAIN,"Reservoir, lot of ag, some forest",7,VII,Man-made,2,C,UMW,PROB_Lake,MI,Long Lake,TRASH,8,475,567,18,5.3,22.12321945,18.32832689,3.794892564,Yes,800.0677457,623.303,176.7647457,Yes,413.2989342,423.4496069,-10.15067267,Yes,8.598889933,8.612072268,-0.013182335,No,116.46,Sedimentary,33,0.053611665,1.096765014,20.45758154,71.20582176,6.523695471,3.372919964,55.39893853,64.68212629,15.46088125
NLA06608-0399,1,YES,UNCERTAIN,"Reservoir, very flat, forest, urban",7,VII,Man-made,2,E,UMW,PROB_Lake,MI,,SO-SO,7.8,461,586,13,14.26,30.75703983,13.79466906,16.96237078,Yes,968.4150845,672.9201793,295.4949052,Yes,757.157066,251.2967113,505.8603547,Yes,8.595365664,8.112114605,0.483251059,No,2185.23,Volcanic,21,3.679212452,9427.36745,2562.332992,45.65598409,7.107010482,2.601313496,20.15913236,38.5489736,23.34375166
NLA06608-0403,1,YES,UNCERTAIN,short core; w-shed disturb;,8,VIII,Natural,1,C,UMW,PROB_Lake,MN,Buck Lake,SO-SO,8.65,275,485,20,5.64,18.00441371,35.84938589,-17.84497218,Yes,681.5864204,805.857,-124.2705796,Yes,325.2692255,343.6061782,-18.33695278,Yes,8.51243568,8.645349619,-0.132913938,No,182.13,Sedimentary,38,54.62694066,4138.381602,75.75715484,13.55878889,3.747334397,1.320565652,1.712446631,9.811454495,10.73849107
NLA06608-0454,1,YES,UNCERTAIN,"reservoir, forest, urban, wetland",14,XIV,Man-made,2,B,NAP,PROB_Lake,MA,Norton Reservoir,SO-SO,7.47,327,367,16,4.88,37.3976,51.13541907,-13.73781907,Yes,837.9637432,822.3302581,15.63348513,Yes,281.8880784,223.7076654,58.18041293,Yes,8.060053214,8.026660287,0.033392927,No,2435,Volcanic,19,0.698244335,200.439569,287.06222,47.2256241,43.06877698,31.54842925,1.07821973,4.156847123,13.19468894
NLA06608-0462,1,YES,UNCERTAIN,Short core; otherwise probably OK,8,VIII,Natural,1,C,UMW,PROB_Lake,MI,Loon Lake,REF,7.9,14,194,3,2.17,10.43543981,16.69618342,-6.260743602,Yes,373.159889,451.733,-78.57311097,Yes,32.39201316,38.43499657,-6.04298341,Yes,7.068883752,7.351879552,-0.2829958,No,3323.93,Granitic,21,0.40330142,2.844291058,7.052519328,1.814901006,1.814901006,0,0,0,4.402532972
NLA06608-0502,1,YES,UNCERTAIN,Ag and urban; linked lakes; could have complic his,7,VII,Natural,1,E,UMW,PROB_Lake,MI,Squaw Lake,SO-SO,7.9,612,648,5,7.37,11.05635743,286.02972,-274.9733625,Yes,468.8203324,2453.597814,-1984.777482,Yes,504.281615,219.2858854,284.9957296,Yes,8.186981553,8.61287494,-0.425893387,No,248.15,Sedimentary,51,0.806716264,11.28592895,13.98996084,50.94343513,22.36138758,12.08787337,7.32812596,28.58204756,11.00397049
NLA06608-0510,1,YES,UNCERTAIN,Ag,6,VI,Natural,1,E,TPL,PROB_Lake,ND,Cavanaugh Lake,SO-SO,8.59,1329,2916,165,16.28,233.9110064,238.8277436,-4.916737237,Yes,1752.166474,2235.68822,-483.521746,Yes,853.14356,1028.138168,-174.9946078,Yes,8.470322686,8.804750567,-0.334427881,No,527.91,Sedimentary,46,0.700771181,12.60914488,17.9932412,69.92628374,4.293507591,0,65.63277615,65.63277615,7.807108372
NLA06608-0529,1,YES,UNCERTAIN,"Reservoir, Big",3,III,Man-made,2,G,XER,PROB_Lake,WA,Moses Lake,SO-SO,9.1,276,508,42,3.28,19.67528143,41.2056518,-21.53037037,Yes,341.0233269,544.6170152,-203.5936883,Yes,149.382509,257.1054335,-107.7229245,Yes,8.507030084,8.711140523,-0.204110439,No,1944,Sedimentary,17,11.27067155,96.02940361,8.520291196,60.78496763,3.637276902,0.747623168,55.34605837,57.14769073,0.983386927
NLA06608-0546,1,YES,UNCERTAIN,"Reservoir?; Long, thin; mill toward outlet",14,XIV,Natural,1,B,NAP,PROB_Lake,MA,Grist Millpond,TRASH,8.97,746,4022,181,5.61,98.956,21.32175814,77.63424186,Yes,1582.050387,492.7333805,1089.317007,Yes,695.0833397,162.7327134,532.3506263,Yes,8.54462474,7.731280734,0.813344006,Yes,60.78,Sedimentary,82,18.87921328,481.0805497,25.48202315,29.75566065,20.44707163,14.90965456,2.593675233,9.308589028,9.260852674
NLA06608-0562,1,YES,UNCERTAIN,Large reservoir; date created unknown,14,XIV,Man-made,2,B,NAP,PROB_Lake,RI,Flat River Reservoir,SO-SO,6.51,109.5,307,6.5,4.38,9.20533,109.3548897,-100.1495597,Yes,295.003266,1505.452279,-1210.449013,Yes,51.84997999,568.3836595,-516.5336795,Yes,6.069872453,8.590759084,-2.52088663,Yes,311.68,Sedimentary,55,0.824825461,22.85294943,27.7064064,13.96192986,10.37492321,4.878919943,0.419670378,3.587006653,10.63881194
NLA06608-0582,1,YES,UNCERTAIN,"Reservoir; Note Union P ""Falls""",14,XIV,Man-made,2,B,NAP,PROB_Lake,CT,Union Pond,TRASH,7.3,328,2709,315,3.31,61.4827,53.70491793,7.777782065,Yes,834.4416507,673.6253528,160.8162978,Yes,173.8743695,148.3013605,25.573009,Yes,8.17545969,8.06540704,0.11005265,No,214.91,Sedimentary,56,0.509227724,5.437270796,10.67748384,45.80548051,34.15682004,20.36646133,3.290229307,11.64866046,6.192774931
NLA06608-0593,1,YES,UNCERTAIN,"?Possib Flowing in L Whatcom before, possibly high",2,II,Man-made,2,F,WMT,PROB_Lake,WA,,SO-SO,8,69,203,4,3.37,4.890257233,8.32291441,-3.432657177,Yes,168.0341921,204.6001867,-36.56599462,Yes,86.01941978,49.33888776,36.68053201,Yes,7.998094874,7.606424784,0.39167009,No,391.93,Granitic,58,0.278275877,14.48887104,52.06657226,25.45667689,25.45667689,9.181096584,0,0,0
NLA06608-0608,1,YES,UNCERTAIN,oxbow lake,10,X,Natural,1,D,CPL,PROB_Lake,MO,,TRASH,8.4,471,2184,327,6.89,76.26321225,360.482249,-284.2190367,Yes,909.828697,2079.748486,-1169.919789,Yes,231.2696772,466.8341534,-235.5644762,Yes,7.966378037,8.312111751,-0.345733714,No,209.24,Sedimentary,55,0.182755044,12.01559159,65.74697648,13.52496583,1.650367854,0,11.87459798,11.87459798,54.01935757
NLA06608-0641,1,YES,UNCERTAIN,,2,II,Natural,1,F,WMT,PROB_Lake,WA,Bayley Lake,SO-SO,9,156,737,49,6.27,59.22454457,41.80793383,17.41661074,Yes,857.5975052,967.3505315,-109.7530263,Yes,256.9158219,180.5156054,76.40021651,Yes,8.573716701,8.437473113,0.136243588,No,307.8,Sedimentary,58,1.043876385,38.42050868,36.80561149,0.939145996,0,0,0,0.939145996,2.646684169
NLA06608-0709,1,YES,UNCERTAIN,lots of forest in w-shed; res dev; dredging,12,XII,Natural,1,D,CPL,PROB_Lake,FL,Trout Lake,SO-SO,7.5,190,2492,202,15.81,121.0898752,97.69597427,23.39390097,Yes,1836.699813,1192.952354,643.7474592,Yes,354.652676,73.48946576,281.1632103,Yes,8.139118516,7.43151342,0.707605096,Yes,247.04,Sedimentary,68,0.729503674,12.0252632,16.48417085,48.79104335,25.63600006,5.891235124,10.86476517,23.15504329,30.56804253
NLA06608-0717,1,YES,UNCERTAIN,?Reservoir of unknown age; much urban development,14,XIV,Man-made,2,D,CPL,PROB_Lake,DE,Silver Lake,SO-SO,8.2,210,2030,225,7.43,79.69002289,62.62800203,17.06202086,Yes,820.6114599,715.474967,105.1364929,Yes,183.3812055,77.55474986,105.8264557,Yes,7.924164329,7.724006042,0.200158287,No,143.86,Sedimentary,32,92.88404614,1989.653583,21.42083238,67.34957778,14.06024351,8.5789835,27.24523344,53.28933427,7.265478822
NLA06608-0723,1,YES,UNCERTAIN,Major inflow from intensive agriculture area,4,IV,Natural,1,E,SPL,PROB_Lake,NE,Shell Lake,SO-SO,9.4,395,1433,24,28.51,34.53386643,136.9018082,-102.3679417,Yes,1234.988306,3124.803897,-1889.815591,Yes,463.2552557,548.8959645,-85.64070871,Yes,8.802964663,9.076972611,-0.274007948,No,34.62,Sedimentary,75,3.394371123,142.6278283,42.01892578,4.252891916,0.591378462,0.146796072,2.545863307,3.661513454,10.95518115
NLA06608-0731,1,YES,UNCERTAIN,Short core for region,7,VII,Natural,1,C,UMW,PROB_Lake,IN,Harper Lake,SO-SO,8.4,429,1221,17,6.51,8.300864888,14.33137681,-6.030511921,Yes,525.6751982,538.061,-12.38580183,Yes,392.1785453,272.1568244,120.0217209,Yes,8.476498488,8.32751743,0.148981058,No,565.35,Sedimentary,68,0.275796231,0.96269794,3.490613115,88.55743275,6.032887596,0.334822218,82.28712576,82.52454516,2.063722397
NLA06608-0733,1,YES,UNCERTAIN,Reservoir,3,III,Man-made,2,G,XER,PROB_Lake,NV,Upper Pahranagat Lake,SO-SO,8.5,1158,993,28,9.7,71.82143084,50.72445614,21.09697469,Yes,1342.252205,846.3590661,495.8931391,Yes,758.1691766,656.9578371,101.2113395,Yes,8.612106437,8.529670111,0.082436326,No,1019.15,Volcanic,11,7.167881695,1156.888232,161.3989016,1.697775021,0.658654888,0.182101969,0.283431909,1.039120133,0.53929566
NLA06608-0766,1,YES,UNCERTAIN,shoreline dev - desirable; ag in watershed; deep l,6,VI,Natural,1,E,TPL,PROB_Lake,ND,Spiritwood Lake,SO-SO,8.65,1973,1673,40,14.63,179.0079044,160.0704638,18.93744062,Yes,1624.54483,2124.475009,-499.9301789,Yes,1169.797972,1630.307139,-460.5091667,Yes,8.678501627,8.589609828,0.088891799,No,328.39,Sedimentary,61,0.82836828,12.27512789,14.81844269,76.07205412,3.799594183,0.093937111,56.71615042,72.27245994,5.550387581
NLA06608-0781,1,YES,UNCERTAIN,Reservoir; shallow core,8,VIII,Man-made,2,B,NAP,PROB_Lake,NJ,Lake Tranquility,SO-SO,8.6,404,729,34,4.39,32.6295,61.54157364,-28.91207364,Yes,787.3987079,684.8409702,102.5577377,Yes,337.4552392,151.9843134,185.4709258,Yes,8.834592537,7.781220952,1.053371586,Yes,0,Quaternary,81,0.210446743,5.217192161,24.79103305,31.62732438,13.31928076,0.656416166,9.91785153,18.30804362,3.067253722
NLA06608-0797,1,YES,UNCERTAIN,"Reservoir, little veg, very little disturb",3,III,Man-made,2,G,XER,PROB_Lake,NV,Bassett Lake,TRASH,8.4,1049,418,24,5.12,38.95788795,33.91721045,5.0406775,Yes,714.0638761,1013.22055,-299.1566737,Yes,326.6729654,1816.840029,-1490.167064,Yes,8.74611567,9.142843254,-0.396727584,No,1463.07,Sedimentary,20,4.529225621,25.46387349,5.622125197,4.249726748,1.824723616,0.822983885,0,2.425003132,0.957313505
NLA06608-0837,1,YES,UNCERTAIN,Human disturbance,3,III,Natural,1,G,XER,PROB_Lake,ID,,SO-SO,9.1,501,1460,109,9.05,79.84404652,126.1026681,-46.2586216,Yes,1216.405362,1449.196494,-232.7911315,Yes,580.378069,836.9720633,-256.5939943,Yes,8.756840801,8.783560981,-0.026720179,No,515.11,Sedimentary,66,13.41255998,600.0211883,44.73576926,7.97269062,1.161403089,0.407233666,2.444887169,6.811287531,1.584082526
NLA06608-0905,1,YES,UNCERTAIN,"?Dams possibly old, no disturbance, little forest,",2,II,Man-made,2,F,WMT,PROB_Lake,NV,Marlette Lake,SO-SO,7.3,45,358,12,2.46,10.65190654,26.97660757,-16.32470102,Yes,192.051303,427.9914466,-235.9401435,Yes,49.83983512,14.37122556,35.46860956,Yes,7.571976704,6.764575923,0.807400782,Yes,1645.33,Sedimentary,13,2.333336719,302.1443759,129.4902589,0,0,0,0,0,0
NLA06608-0968,1,YES,UNCERTAIN,All ag watershed,6,VI,Natural,1,E,TPL,PROB_Lake,IA,Clear Lake,SO-SO,10.3,570,3553,145,24.21,161.5823455,172.9747595,-11.39241405,Yes,2549.905797,2686.24311,-136.3373124,Yes,656.5292335,607.3539594,49.17527413,Yes,8.64391297,8.778862861,-0.134949891,No,424.93,Granitic,50,0.20654588,1.111279678,5.380304251,61.3388828,8.355130216,1.88499889,52.98375259,52.98375259,2.954863125
NLA06608-1010,1,YES,UNCERTAIN,"Reservoir; hydroelectric dam; ling this, on river",14,XIV,Man-made,2,B,NAP,PROB_Lake,CT,Lake Zoar,SO-SO,8.95,323,901,38,2.88,30.673,29.09148971,1.581510293,No,555.6139549,440.1943018,115.419653,Yes,201.0722499,195.060082,6.012167924,Yes,8.307128759,8.334338012,-0.027209253,No,302.17,Sedimentary,51,0.701958065,2.451289811,3.492074433,23.84706687,10.43137523,4.117896499,1.731039219,13.41569165,4.963913063
NLA06608-1015,1,YES,UNCERTAIN,Ag watershed; high TP,6,VI,Natural,1,E,TPL,PROB_Lake,IA,,SO-SO,9.7,394,1704,77,7.47,94.64128346,74.67533329,19.96595017,Yes,1419.392585,1366.733216,52.65936853,Yes,361.3424574,328.0749326,33.26752485,Yes,8.529985264,8.558661278,-0.028676014,No,92.14,Sedimentary,6,0.193008166,114.4521281,592.9911194,85.99466763,5.551502587,0.164021667,80.21290385,80.44316504,1.643370936
NLA06608-1035,1,YES,UNCERTAIN,"lots of ag, little urban",6,VI,Natural,1,E,TPL,PROB_Lake,IA,,SO-SO,10,411,4348,160,14.71,101.224673,111.9288796,-10.70420657,Yes,1926.589335,1429.956144,496.6331911,Yes,497.0632903,244.0658966,252.9973937,Yes,8.58968316,8.513530927,0.076152233,No,104.79,Sedimentary,2,0.103146877,0.718868377,6.969366373,77.89360212,5.149357038,0.108874424,71.06274008,72.74424508,3.435592949
NLA06608-1036,1,YES,UNCERTAIN,Oxbow lake; lots of ag in w-shed,9,IX,Natural,1,E,TPL,PROB_Lake,KS,,SO-SO,7.74,419,856,94,5.09,49.79571079,89.05217846,-39.25646767,Yes,785.3616418,1103.23162,-317.8699785,Yes,300.5898546,359.9303743,-59.34051963,Yes,8.079774975,8.349345518,-0.269570543,No,425.05,Sedimentary,69,4.763419333,571.9870539,120.079089,83.99037885,9.645698979,2.729914805,70.6137963,74.34467987,3.275897767
NLA06608-1041,1,YES,UNCERTAIN,"Reservoir?  Has causeway,; picture - turbidity",3,III,Natural,1,F,XER,PROB_Lake,WA,Grimes Lake,TRASH,9.4,4217,1878,190,18.41,566.7027304,2020.447325,-1453.744594,Yes,2178.927264,6167.920016,-3988.992752,Yes,558.5736451,748.0862718,-189.5126267,Yes,9.213144937,8.31590476,0.897240177,Yes,1392,Sedimentary,43,8.226823136,154.382877,18.76579506,40.83466771,2.780869183,0.112181057,38.05379853,38.05379853,0
NLA06608-1114,1,YES,UNCERTAIN,Oxbow lake; fairly established,12,XII,Natural,1,D,CPL,PROB_Lake,MS,Moon Lake,SO-SO,7.31,806,558,63,5.07,61.29076694,56.76452101,4.526245934,Yes,889.7704084,541.3842414,348.3861669,Yes,563.2889057,101.5743972,461.7145084,Yes,8.007341574,7.253495966,0.753845607,Yes,619.91,Sedimentary,15,0.481924558,38.24981775,79.36889109,0,0,0,0,0,79.16366628
NLA06608-1122,1,YES,UNCERTAIN,"Reservoir; Dam, could be as high as lake depth",14,XIV,Man-made,2,B,NAP,PROB_Lake,MA,Kettle Brook Reservoir Number One,SO-SO,7.33,131,318,9,4.11,11.2644,16.03396785,-4.769567851,Yes,427.9226422,431.2044654,-3.281823145,Yes,100.0556191,71.5821119,28.47350721,Yes,7.369610278,7.541943909,-0.172333631,No,569.53,Sedimentary,42,0.115350238,1.156124467,10.02273153,22.25386884,13.67798768,6.26281487,0.609580647,8.575881162,10.6968878
NLA06608-1130,1,YES,UNCERTAIN,,7,VII,Natural,1,E,UMW,PROB_Lake,MI,Thornapple Lake,SO-SO,6.8,555,634,65,4.8,55.41488983,74.79013885,-19.37524902,Yes,904.7365919,1165.557473,-260.8208812,Yes,499.3301575,396.4337251,102.8964324,Yes,8.398850987,8.574176085,-0.175325098,No,209.45,Sedimentary,51,2.32638163,60.09695073,25.83279972,69.56937404,7.097103204,2.350148381,42.71406658,62.47227083,11.06974497
NLA06608-1175,1,YES,UNCERTAIN,Lots of Ag in watershed,7,VII,Natural,1,E,UMW,PROB_Lake,MN,"Jennie, Lake",SO-SO,8.6,375,1328,69,10.58,41.71327616,50.41496332,-8.70168716,Yes,774.5285454,1129.16223,-354.6336846,Yes,243.384858,258.0666549,-14.68179684,Yes,8.374130923,8.387022139,-0.012891217,No,97.61,Sedimentary,45,0.101117363,2.35491333,23.2889117,71.45129547,4.493899736,2.601843948,56.83008695,66.95739573,3.354390431
NLA06608-1207,1,YES,UNCERTAIN,Short core for region,7,VII,Natural,1,C,UMW,PROB_Lake,WI,Round Lake,SO-SO,8.75,223,240,11,3.07,13.59430403,42.96550117,-29.37119714,Yes,552.5758767,792.215,-239.6391233,Yes,225.7342201,274.6684542,-48.93423409,Yes,8.509863529,8.592093815,-0.082230286,No,255.8,Sedimentary,59,0.219604383,1.146197106,5.219372631,73.71444356,5.322365562,0.159734861,30.73298722,68.392078,3.910309392
NLA06608-1223,1,YES,UNCERTAIN,"Row ag in watershed, but wetland and forest buffer",6,VI,Natural,1,E,TPL,PROB_Lake,IA,,SO-SO,9.6,269,4053,422,12.85,135.8057268,59.41332794,76.39239891,Yes,1539.694207,1172.806224,366.8879822,Yes,229.5319151,65.4092809,164.1226342,Yes,8.429194822,7.900010933,0.529183889,No,294.56,Sedimentary,51,2.196509877,114.4366768,52.09932265,43.34250774,7.135116304,0.17726997,36.20739143,36.20739143,17.50540957
NLA06608-1236,1,YES,UNCERTAIN,"ResNot much disturb, but shallow core; might be OK",3,III,Man-made,2,G,XER,PROB_Lake,NM,Bentley Lake,SO-SO,8.2,341,504,52,5.32,146.3658884,76.41089172,69.95499666,Yes,811.3543284,963.2963337,-151.9420052,Yes,167.4227939,499.4738657,-332.0510717,Yes,9.180089359,8.922954115,0.257135244,No,176.65,Sedimentary,56,18.99633474,6967.619939,366.7875954,,,,,,
NLA06608-1303,1,YES,UNCERTAIN,?High sed rate; watershed dist,7,VII,Natural,1,E,UMW,PROB_Lake,MN,Sakatah Lake,SO-SO,9.6,425,2338,817,12.08,269.2510778,133.0963051,136.1547727,Yes,2042.035062,1176.531994,865.5030677,Yes,562.1414978,395.4372802,166.7042176,Yes,8.672662612,8.506576385,0.166086228,No,72.58,Sedimentary,33,46.8250965,2609.636631,55.7315804,73.55752815,4.812958755,1.967349783,49.00686269,68.74456939,4.519959681
NLA06608-1349,1,YES,UNCERTAIN,Highly urbanized; cuold be high sed rate,12,XII,Natural,1,D,CPL,PROB_Lake,FL,"Minnehaha, Lake",TRASH,8.2,249,804,30,8.16,31.03592793,43.55057989,-12.51465197,Yes,795.6803142,638.7982139,156.8821003,Yes,207.6820178,57.49809297,150.1839248,Yes,8.22172152,7.205204436,1.016517085,Yes,329.73,Sedimentary,27,1.796546896,41.47348549,23.08511155,67.79295431,67.79295431,48.42710853,0,0,17.66664898
NLA06608-1383,1,YES,UNCERTAIN,Short core,7,VII,Natural,1,C,UMW,PROB_Lake,MN,Norway Lake,SO-SO,8.7,405,1444,35,12.4,11.78561418,45.25722925,-33.47161507,Yes,467.5950662,1029.96,-562.3649338,Yes,320.7521079,299.3704023,21.38170561,Yes,8.449305748,8.458502591,-0.009196843,No,536.84,Gneiss,58,0.584635652,5.5593,9.508999284,65.70841139,3.684816278,0.271830709,48.30680433,62.02359511,3.112728119
NLA06608-1391,1,YES,UNCERTAIN,some ag; lots urban; very green,7,VII,Natural,1,B,NAP,PROB_Lake,OH,Aurora Pond,TRASH,8.2,870,1360,172,8.09,125.634,62.80053085,62.83346915,Yes,1559.467935,951.7767014,607.6912338,Yes,501.5994826,109.1982429,392.4012397,Yes,8.504990236,7.50501174,0.999978496,Yes,363.27,Granitic,51,0.685628682,2.769473992,4.039320503,64.06816172,63.8202559,29.79518138,0,0.247905825,1.182717375
NLA06608-1445,1,YES,UNCERTAIN,Reservoir; 20 cm core,3,III,Man-made,2,G,XER,PROB_Lake,OR,,TRASH,7.8,447,5009,2670,31.07,82.81439353,106.8396103,-24.02521681,Yes,1478.12823,1241.876294,236.2519363,Yes,357.3171499,299.4780182,57.83913172,Yes,8.447123164,8.55586686,-0.108743696,No,402.25,Gneiss,50,1.053592374,17.64382112,16.74634474,16.23312304,0,0,7.543014347,16.23312304,2.071721913
NLA06608-1469,1,YES,UNCERTAIN,?Oxbow lake; forest shore; old ag in w-shed; OK?,9,IX,Natural,1,D,CPL,PROB_Lake,GA,Brierpatch Lake,SO-SO,6.43,96,576,112,12.85,95.90912735,35.7665846,60.14254275,Yes,708.5058089,411.518279,296.9875299,Yes,64.62097662,124.0834214,-59.46244481,Yes,6.783257149,7.863794947,-1.080537797,Yes,383.09,Volcanic,50,3.686975697,45.73855548,12.40543992,3.817569033,3.022242151,0,0,0.795326882,42.4704555
NLA06608-1476,1,YES,UNCERTAIN,"Reservoir, all urban",5,V,Man-made,2,E,SPL,PROB_Lake,CO,Sloans Lake,SO-SO,8.2,723,1891,183,7.57,204.5393493,52.85143238,151.687917,Yes,2031.622307,707.2011365,1324.42117,Yes,761.1814738,1343.410673,-582.2291995,Yes,8.571811361,8.912868659,-0.341057298,No,63.79,Sedimentary,59,0.065794142,6.284518505,95.51790388,91.54697938,91.54697938,73.38668905,0,0,0.305857521
NLA06608-1527,1,YES,UNCERTAIN,"High Ag - >70%,Reg 6",6,VI,Natural,1,E,TPL,PROB_Lake,IA,Swan Lake,TRASH,9.3,397,5191,587,9.67,144.6166825,236.8576911,-92.24100864,Yes,1552.923987,1907.294816,-354.3708283,Yes,352.5428021,359.0647614,-6.521959297,Yes,8.360132323,8.545991575,-0.185859252,No,479.96,Sedimentary,58,1.408572468,5.919211322,4.202276742,81.01154334,6.702801872,1.007310676,73.24201837,74.30874147,1.90119763
