SITE_ID,VISIT_NO,SAMPLED_CORE,DATECORE,SAMPLED_INF,INDXSAMP_INF,SAMPLE_CATEGORY,SAMPLE_ID_TOP,SAMPLE_ID_BOT,FLAG_FLD_CORE,COMMENT_FLD_CORE,PTL_INF_TOP,PTL_INF_BOT,PTL_INF_DIF,PTL_SIGTEST,NTL_INF_TOP,NTL_INF_BOT,NTL_INF_DIF,NTL_SIGTEST,COND_INF_TOP,COND_INF_BOT,COND_INF_DIF,COND_SIGTEST,PH_INF_TOP,PH_INF_BOT,PH_INF_DIF,PH_SIGTEST,CORE_LENGTH,CORE_CONFIDENCE,COMMENT_CONFIDENCE,SITE_TYPE,LAKE_SAMP,LAKE_ORIGIN
NLA06608-0452,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0453,1,YES (Both),7/31/2007,YES,YES,P,507187,507188,,,42.10556543,16.03107892,26.07448651,Yes,510.1294543,248.096234,262.0332204,Yes,73.42759677,34.85315845,38.57443832,Yes,7.114135027,6.793769984,0.320365044,No,7,NO,Core too short,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0454,1,YES (Both),7/25/2007,YES,YES,P,503817,503818,,,37.3976,51.13541907,-13.73781907,Yes,837.9637432,822.3302581,15.63348513,Yes,281.8880784,223.7076654,58.18041293,Yes,8.060053214,8.026660287,0.033392927,No,43,UNCERTAIN,"reservoir, forest, urban, wetland",PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0456,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0458,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0459,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0462,1,YES (Both),8/20/2007,YES,YES,P,509657,509658,,,10.43543981,16.69618342,-6.260743602,Yes,373.159889,451.733,-78.57311097,Yes,32.39201316,38.43499657,-6.04298341,Yes,7.068883752,7.351879552,-0.2829958,No,17,UNCERTAIN,Short core; otherwise probably OK,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0463,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0467,1,YES (Both),7/9/2007,YES,YES,P,505157,505158,,,36.16870674,69.68606991,-33.51736318,Yes,972.789806,1164.51,-191.720194,Yes,288.8109065,346.6232945,-57.81238802,Yes,8.47313899,8.766924152,-0.293785162,No,30.5,YES,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0468,1,YES (Both),8/1/2007,YES,YES,P,510647,510648,IM,CORE LENGTH CHANGED (365),16.43565593,10.98505648,5.450599447,Yes,244.0986226,170.4474653,73.65115722,Yes,49.62694831,42.45951353,7.167434775,Yes,7.894757376,7.685977905,0.208779472,No,36.5,YES,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0469,1,YES (Both),8/29/2007,YES,YES,P,513467,513468,IM,BOTTOM INTERVALS ASSUMED FROM CORE LENGTH,10.0172,9.829867156,0.187332844,No,274.0642436,288.4513709,-14.38712728,Yes,64.45262464,68.55915073,-4.106526093,Yes,7.567366988,7.799715854,-0.232348866,No,39.5,YES,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0470,1,YES (Both),7/24/2007,YES,YES,P,507287,507288,IM,BOTTOM INTERVALS ASSUMED FROM CORE LENGTH,5.22612,7.742184086,-2.516064086,Yes,202.4885856,264.2601472,-61.7715616,Yes,67.88837595,60.28873909,7.599636858,Yes,7.530595023,7.467086458,0.063508565,No,41,YES,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0471,1,YES (Both),6/25/2007,YES,YES,P,506738,506737,,,21.99006927,69.74359328,-47.75352401,Yes,922.0491063,1005.681705,-83.63259906,Yes,311.8476716,421.6870245,-109.8393529,Yes,8.498781823,8.626816499,-0.128034676,No,48,YES,Maybe OK,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0472,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0473,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0479,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0480,1,NO,,NO CORE SAMPLE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0480,2,YES (Top only),,NOT DONE,NO,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0483,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0484,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0488,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0489,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0491,1,YES (Both),7/17/2007,YES,YES,P,512817,512818,,,11.4243696,11.46215355,-0.037783952,No,563.9718385,799.2420854,-235.270247,Yes,499.673015,276.1092387,223.5637763,Yes,8.238959889,8.32072461,-0.081764722,No,19.5,NO,Short core,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0493,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0494,1,YES (Both),7/11/2007,YES,YES,P,503617,503618,,,14.74400101,20.29835054,-5.554349523,Yes,562.1305198,681.832,-119.7014802,Yes,325.0342466,317.5966101,7.437636536,Yes,8.299707574,8.451972481,-0.152264907,No,18,NO,Short core; otherwise OK?,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0495,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0496,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0497,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0498,1,YES (Both),7/31/2007,YES,YES,P,512217,512218,K,,16.692,30.06329244,-13.37129244,Yes,417.688112,432.1984116,-14.51029959,Yes,126.5525883,91.60587278,34.94671548,Yes,8.263806213,7.753473828,0.510332385,No,43,YES,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0500,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0501,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0502,1,YES (Both),8/18/2007,YES,YES,P,515738,515737,,,11.05635743,286.02972,-274.9733625,Yes,468.8203324,2453.597814,-1984.777482,Yes,504.281615,219.2858854,284.9957296,Yes,8.186981553,8.61287494,-0.425893387,No,33.5,UNCERTAIN,Ag and urban; linked lakes; could have complic his,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0503,1,YES (Both),8/1/2007,YES,YES,P,512887,512888,IM,BOTTOM INTERVALS ASSUMED FROM CORE LENGTH,238.7063132,533.5724152,-294.866102,Yes,3596.744758,5219.173882,-1622.429124,Yes,1204.393981,1559.783162,-355.3891805,Yes,8.62151522,8.593355695,0.028159525,No,14,NO,Short core,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0508,1,YES (Both),7/10/2007,NO LAB DATA,YES,P,502467,502468,IM,BOTTOM INTERVALS ASSUMED FROM CORE LENGTH,,,,,,,,,,,,,,,,,19,,,PROB_Lake,Lake_Shallow,MAN-MADE
NLA06608-0509,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0510,1,YES (Both),6/27/2007,YES,YES,P,503467,503468,,,233.9110064,238.8277436,-4.916737237,Yes,1752.166474,2235.68822,-483.521746,Yes,853.14356,1028.138168,-174.9946078,Yes,8.470322686,8.804750567,-0.334427881,No,41,UNCERTAIN,Ag,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0511,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0512,1,YES (Both),8/13/2007,YES,YES,P,512457,512458,,,55.01175016,229.4604556,-174.4487054,Yes,1417.943284,2868.256792,-1450.313508,Yes,406.2239633,401.9371956,4.286767684,Yes,8.510060443,8.780077777,-0.270017334,No,31,YES,Watershed forested; wetlands; high DOC,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0514,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0515,1,YES (Both),6/28/2007,YES,YES,P,514177,514178,,,111.9702762,518.3621087,-406.3918324,Yes,2571.8048,8385.04181,-5813.23701,Yes,1360.353912,1724.225047,-363.8711352,Yes,8.921498934,9.585782253,-0.664283318,Yes,39.5,NO,?Intensive ag LU near lake,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0523,1,YES (Both),7/16/2007,YES,YES,P,512897,512898,IM,CORE LENGTH ESTIMATED FROM BOTTOM INTERVAL,302.4419787,249.6166315,52.82534717,Yes,2856.997982,2865.417269,-8.41928663,Yes,985.6316278,1015.707412,-30.07578455,Yes,8.764628909,8.908271616,-0.143642707,No,24,NO,"High Ag - >70%,Reg 6",PROB_Lake,Target_Sampled,NATURAL
NLA06608-0526,1,YES (Both),7/18/2007,YES,YES,P,506677,506678,,,4.722637215,5.854943687,-1.132306472,No,200.333094,225.726,-25.39290601,Yes,28.06666224,35.81938497,-7.752722728,Yes,7.271675633,7.420576986,-0.148901353,No,42,YES,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0528,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0529,1,YES (Both),9/4/2007,YES,YES,P,517817,517818,,,19.67528143,41.2056518,-21.53037037,Yes,341.0233269,544.6170152,-203.5936883,Yes,149.382509,257.1054335,-107.7229245,Yes,8.507030084,8.711140523,-0.204110439,No,50,UNCERTAIN,"Reservoir, Big",PROB_Lake,Target_Sampled,NATURAL
NLA06608-0530,1,YES (Lost sample),,YES (LOST SAMPLE),YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0531,1,YES (Both),7/11/2007,YES,YES,P,505227,505228,,,91.88452794,51.93773325,39.94679469,Yes,2128.321073,984.3465495,1143.974524,Yes,3563.165001,2807.202696,755.9623052,Yes,8.48048967,8.403096757,0.077392913,No,27.7,NO,"W-shed nearly all ag, mostly row",PROB_Lake,Target_Sampled,NATURAL
NLA06608-0533,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0537,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0540,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0541,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0542,1,YES (Both),8/30/2007,YES,YES,P,513567,513568,,,20.23510083,14.06553871,6.169562121,Yes,1127.06797,640.758507,486.309463,Yes,195.2856044,89.44441501,105.8411893,Yes,8.38168708,8.046877467,0.334809613,No,38,YES,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0546,1,YES (Both),7/18/2007,YES,YES,P,513137,513138,IM,BOTTOM INTERVALS ASSUMED FROM CORE LENGTH,98.956,21.32175814,77.63424186,Yes,1582.050387,492.7333805,1089.317007,Yes,695.0833397,162.7327134,532.3506263,Yes,8.54462474,7.731280734,0.813344006,Yes,37,UNCERTAIN,"Reservoir?; Long, thin; mill toward outlet",PROB_Lake,Target_Sampled,NATURAL
NLA06608-0547,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0550,1,YES (Both),8/1/2007,YES,YES,P,504387,504388,IM,CORE LENGTH AND BOTTOM INTERVALS NOT RECORDED,6.37953,6.519387685,-0.139857685,No,210.2001635,199.0385596,11.16160395,Yes,39.62093954,35.44400633,4.176933214,Yes,6.747023605,6.276105853,0.470917752,No,,YES,Forested watershed; grafton co - NH,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0551,1,YES (Top only),8/20/2007,YES (LOST SAMPLE),YES,P,509447,509448,F1; IM,F1=UNABLE TO GET CORE >12CM.  IM=No lab data for bottom sample,,,,,,,,,,,,,,,,,12,,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0555,1,YES (Both),7/23/2007,YES,YES,P,506937,506938,,,18.78042221,5.265087077,13.51533514,Yes,639.4278927,388.9948251,250.4330675,Yes,418.9732635,238.1589689,180.8142946,Yes,8.369654043,8.319454908,0.050199135,No,35.8,YES,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0558,1,YES (Both),8/9/2007,YES,YES,P,506968,506967,,,44.51967422,85.7951453,-41.27547108,Yes,1323.25235,1306.556154,16.69619587,Yes,467.6124509,180.9454534,286.6669975,Yes,8.505604181,8.521941631,-0.01633745,No,47,YES,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0560,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0561,1,YES (Both),8/9/2007,YES,YES,P,513757,513758,,,5.676125349,5.763313038,-0.087187689,No,88.99032108,110.6316481,-21.64132697,Yes,46.7331992,35.36266262,11.37053658,Yes,7.682460598,7.757874341,-0.075413743,No,38.1,YES,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0562,1,YES (Both),7/13/2007,YES,YES,P,508777,508778,IM,CORE LENGTH AND BOTTOM INTERVALS NOT RECORDED,9.20533,109.3548897,-100.1495597,Yes,295.003266,1505.452279,-1210.449013,Yes,51.84997999,568.3836595,-516.5336795,Yes,6.069872453,8.590759084,-2.52088663,Yes,,UNCERTAIN,Large reservoir; date created unknown,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0562,2,YES (Both),8/21/2007,NO LAB DATA,NO,P,508987,508988,IM,CORE LENGTH NOT RECORDED,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0564,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0565,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0569,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0570,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0579,1,YES (Both),8/19/2007,NO LAB DATA,YES,P,503507,503508,,,,,,,,,,,,,,,,,,,30,,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0580,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0581,1,NO,,NO CORE SAMPLE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0582,1,YES (Both),7/19/2007,YES,YES,P,508147,508148,,,61.4827,53.70491793,7.777782065,Yes,834.4416507,673.6253528,160.8162978,Yes,173.8743695,148.3013605,25.573009,Yes,8.17545969,8.06540704,0.11005265,No,43.5,UNCERTAIN,"Reservoir; Note Union P ""Falls""",PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0583,1,YES (Both),6/26/2007,NO LAB DATA,YES,P,502607,502608,IM,BOTTOM INTERVALS ASSUMED FROM CORE LENGTH,,,,,,,,,,,,,,,,,46,,,PROB_Lake,Lake_Shallow,NATURAL
NLA06608-0585,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0587,1,YES (Both),7/9/2007,NO LAB DATA,YES,P,513907,513908,F1,ABOUT 3/4 OF THE CENTIMETER WAS COLLECTED.,,,,,,,,,,,,,,,,,56,,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0587,2,YES (Both),8/14/2007,NO LAB DATA,NO,P,511607,511608,IM,"TEAM INDICATED TYPE AS ""D"" POSSIBLY FOR VISIT 2?, NO PRIMARY SAMPLE RECORDED.",,,,,,,,,,,,,,,,,48,,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0588,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0590,1,YES (Both),8/7/2007,YES,YES,P,508397,508398,,,47.33180044,34.2611349,13.07066554,Yes,1596.621838,996.1178727,600.5039655,Yes,117.9977866,187.4214966,-69.42370997,Yes,8.383283043,8.47704452,-0.093761477,No,34,YES,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0591,1,NO,,NO CORE SAMPLE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0593,1,YES (Both),7/10/2007,YES,YES,P,506387,506388,F2,"2"" POCKET OF LIQUID IN THE MIDDLE SECTION OF CORE. BOTTOM AND TOP WERE INTACT.",4.890257233,8.32291441,-3.432657177,Yes,168.0341921,204.6001867,-36.56599462,Yes,86.01941978,49.33888776,36.68053201,Yes,7.998094874,7.606424784,0.39167009,No,33,UNCERTAIN,"?Possib Flowing in L Whatcom before, possibly high",PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0594,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0595,1,YES (Both),6/12/2007,YES,YES,P,514057,514058,,,536.3146122,1026.648007,-490.3333945,Yes,4427.150896,11292.06266,-6864.911764,Yes,2304.412393,2888.715835,-584.3034422,Yes,8.827577027,8.912348137,-0.08477111,No,18,NO,Short core,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0596,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0597,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0599,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0606,1,YES (Both),8/8/2007,YES,YES,P,514867,514868,,,8.730667155,6.416063904,2.314603252,Yes,366.5904748,310.244,56.34647481,Yes,108.2101454,75.52544581,32.68469963,Yes,8.058572393,7.928577327,0.129995066,No,28.5,YES,Some dev; most forest,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0608,1,YES (Both),9/18/2007,YES,YES,P,503757,503758,IM,BOTTOM INTERVALS ASSUMED FROM CORE LENGTH,76.26321225,360.482249,-284.2190367,Yes,909.828697,2079.748486,-1169.919789,Yes,231.2696772,466.8341534,-235.5644762,Yes,7.966378037,8.312111751,-0.345733714,No,37,UNCERTAIN,oxbow lake,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0609,1,YES (Both),7/25/2007,YES,YES,P,502047,502048,,,146.2556438,142.588763,3.666880808,Yes,2618.12674,2742.925124,-124.7983841,Yes,881.659259,792.0756889,89.58357012,Yes,8.767480189,8.796779015,-0.029298826,No,6,NO,Core too short,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0610,1,YES (Both),8/2/2007,YES,YES,P,512017,512018,IM,BOTTOM INTERVALS ASSUMED FROM CORE LENGTH,6.24879,9.089442219,-2.840652219,Yes,157.7095521,333.817981,-176.1084288,Yes,37.5303286,109.8010552,-72.27072658,Yes,6.31507127,7.725719865,-1.410648595,Yes,27,YES,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0611,1,YES (Both),7/2/2007,YES,YES,P,514677,514678,,,72.00191264,129.2553964,-57.25348373,Yes,1392.204448,1640.37,-248.1655521,Yes,464.4649624,508.9218792,-44.45691678,Yes,8.644968432,8.716977128,-0.072008696,No,38.5,NO,?Ag and Urban; near L Mendota,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0614,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0616,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0617,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0618,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0619,1,YES (Both),7/18/2007,YES,YES,P,503937,503938,,,5.74476385,2.292426638,3.452337213,Yes,456.7969459,281.41,175.3869459,Yes,318.2006053,296.2523845,21.94822074,Yes,8.280930588,8.416969471,-0.136038883,No,57.5,YES,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0622,1,YES (Both),7/24/2007,YES,YES,P,504497,504498,,,23.94946536,37.14394867,-13.19448332,Yes,517.4210967,985.271,-467.8499033,Yes,318.3109476,433.0099833,-114.6990357,Yes,8.42580216,8.672742115,-0.246939955,No,33.2,YES,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0623,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0624,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0625,1,YES (Both),9/19/2007,YES,YES,P,517337,517338,,,13.73947537,13.99752906,-0.258053691,No,225.3619082,228.1438328,-2.781924664,Yes,46.08622015,23.79813073,22.28808942,Yes,7.562327875,7.354841858,0.207486017,No,27,YES,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0627,1,YES (Both),7/19/2007,YES,YES,P,506597,506598,,,10.48685508,2.793863368,7.692991712,Yes,422.4892414,257.677,164.8122414,Yes,118.7022127,354.1890965,-235.4868838,Yes,8.062546967,8.565450095,-0.502903128,No,48.5,YES,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0628,1,YES (Both),6/25/2007,NO LAB DATA,YES,P,503538,503537,G1; IM,"G1: THIS LAKE EXISTED NATURALLY, BUT IS NOW DAMMED. IM: CORE LENGTH CHANGED (1) BASED ON INTERVALS",,,,,,,,,,,,,,,,,58,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0630,1,YES (Both),7/30/2007,YES,YES,P,507217,507218,,,10.56471685,5.993958442,4.570758408,Yes,1078.302082,899.6894442,178.612638,Yes,193.131683,1103.42349,-910.2918069,Yes,8.197835754,8.770873807,-0.573038053,No,51,YES,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0632,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0634,1,YES (Both),8/22/2007,YES,YES,P,505237,505238,,,247.9680364,417.9341484,-169.9661119,Yes,3191.705435,3651.3464,-459.6409647,Yes,2275.864636,879.0420492,1396.822587,Yes,8.750679228,8.876455801,-0.125776572,No,18,NO,Short core,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0635,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0637,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0641,1,YES (Both),7/25/2007,YES,YES,P,508707,508708,,,59.22454457,41.80793383,17.41661074,Yes,857.5975052,967.3505315,-109.7530263,Yes,256.9158219,180.5156054,76.40021651,Yes,8.573716701,8.437473113,0.136243588,No,41.5,UNCERTAIN,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0648,1,NO,8/1/2007,NO CORE SAMPLE,YES,P,507127,507128,K,"COULD NOT OBTAIN CORE, MUCH TOO SANDY",,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0649,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0650,1,YES (Both),7/25/2007,YES,YES,P,507047,507048,K,,23.23649927,21.96461077,1.271888502,No,580.5234132,447.9179563,132.6054569,Yes,254.160913,301.653475,-47.49256199,Yes,8.577727303,8.659349824,-0.081622521,No,36.2,YES,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0651,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0654,1,YES (Both),8/14/2007,YES,YES,P,513677,513678,,,30.38843983,41.33459579,-10.94615596,Yes,576.7753881,576.437,0.338388057,No,82.33282384,59.3513364,22.98148744,Yes,7.803114144,7.330082971,0.473031173,No,43,YES,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0657,1,YES (Both),9/13/2007,YES,YES,P,513627,513628,,,6.0402,9.140534745,-3.100334745,Yes,247.1947186,276.9766769,-29.78195828,Yes,47.6671702,27.92987768,19.73729252,Yes,6.784986724,6.957971135,-0.17298441,No,41,YES,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0658,1,YES (Both),7/26/2007,NO LAB DATA,YES,P,506787,506788,,,,,,,,,,,,,,,,,,,23,,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0659,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0660,1,YES (Both),7/12/2007,YES,YES,P,514327,514328,,,18.75408293,8.288718411,10.46536451,Yes,839.3541735,542.148,297.2061735,Yes,660.8937104,382.3650275,278.5286829,Yes,8.207301392,8.09023846,0.117062933,No,42,NO,"High Ag - >70%,Reg 6",PROB_Lake,Target_Sampled,NATURAL
NLA06608-0661,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
