SITE_ID,VISIT_NO,SAMPLED_INF,INDXSAMP_INF,PTL_INF_TOP,PTL_INF_BOT,PTL_INF_DIF,PTL_SIGTEST,NTL_INF_TOP,NTL_INF_BOT,NTL_INF_DIF,NTL_SIGTEST,CORE_CONFIDENCE,SAMPLED,SITE_TYPE,LAKE_SAMP,TNT,LON_DD,LAT_DD,ST,EPA_REG,AREA_CAT7,NESLAKE,STRATUM,PANEL,DSGN_CAT,MDCATY,WGT,WGT_NLA,ADJWGT_CAT,URBAN,WSA_ECO3,WSA_ECO9,ECO_LEV_3,NUT_REG,NUTREG_NAME,ECO_NUTA,LAKE_ORIGIN,ECO3_X_ORIGIN,REF_CLUSTER,RT_NLA,HUC_2,HUC_8,FLAG_INFO,COMMENT_INFO,SAMPLED_CORE,PTL_INF_COND,PTL_INF_COND3,NTL_INF_COND,NTL_INF_COND3
NLA06608-0406,1,NOT DONE,YES,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-121.7044304,45.1803812,OR,Region_10,>100,,NLALake,Panel_1,WMT_OR_>100,0.05025013,19.70886987,4.4036635,OR,NO,WMTNS,WMT,4,II,Western Forested Mountains,II,NATURAL,WMTNS NATURAL,F,SO-SO,17,17070306,,,YES (Top only),00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED
NLA06608-0407,1,YES,YES,545.15,456.95,88.2,Yes,5352.02,3439.07,1912.95,Yes,NO,YES,PROB_Lake,Target_Sampled,Target,-97.7543842,45.0933556,SD,Region_8,"(20,50]",,NLALake,Panel_1,"TPL_SD_(20,50]",0.00938875,105.4851019,53.28692,SD,NO,PLNLOW,TPL,46,VI,Corn Belt and Northern Great Plains,VI,NATURAL,PLNLOW NATURAL,E,SO-SO,10,10160010,,,YES (Both),01:INSUFF. CORE LEN.,01:INSUFF. CORE LEN.,01:INSUFF. CORE LEN.,01:INSUFF. CORE LEN.
NLA06608-0408,1,NOT DONE,YES,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-97.2818327,34.3688218,OK,Region_6,"(50,100]",,NLALake,Panel_1,"SPL_OK_(50,100]",0.07881169,12.56632614,3.4512251,OK,NO,PLNLOW,SPL,29,IX,Southeastern Temperate Forested Plains and Hills,IX,MAN-MADE,PLNLOW MAN-MADE,C,SO-SO,11,11130303,,,YES (Top only),00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED
NLA06608-0413,1,NOT DONE,YES,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-77.7454141,36.5605718,VA,Region_3,"(4,10]",,NLALake,Panel_1,"(4,10]",0.00131289,754.345388,386.8879495,VA,NO,EHIGH,SAP,45,IX,Southeastern Temperate Forested Plains and Hills,IX,MAN-MADE,EHIGH MAN-MADE,A,TRASH,3,3010204,,,YES (Top only),00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED
NLA06608-0414,1,YES,YES,29.86,68.61,-38.75,Yes,818.81,941.4,-122.58,Yes,NO,YES,PROB_Lake,Target_Sampled,Target,-91.6104565,46.1318006,WI,Region_5,"(10,20]",,NLALake,Panel_1,"UMW_WI_(10,20]",0.00393216,251.8648776,242.0290559,WI,NO,PLNLOW,UMW,50,VIII,Nutrient Poor Largely Glaciated Upper Midwest and Northeast,VIII,NATURAL,PLNLOW NATURAL,E,REF,7,7030002,,,YES (Both),01:INSUFF. CORE LEN.,01:INSUFF. CORE LEN.,01:INSUFF. CORE LEN.,01:INSUFF. CORE LEN.
NLA06608-0418,1,YES,YES,11.52,10.26,1.26,No,301.45,269.03,32.41,Yes,YES,YES,PROB_Lake,Target_Sampled,Target,-71.9999278,42.7698256,NH,Region_1,"(50,100]",,NLALake,Panel_1,"NAP_NH_(50,100]",0.03639742,27.20998824,20.3121784,NH,YES,EHIGH,NAP,58,VIII,Nutrient Poor Largely Glaciated Upper Midwest and Northeast,VIII,NATURAL,EHIGH NATURAL,B,SO-SO,1,1070003,,,YES (Both),09:> -5 to +5 ug/L,04:NO CHANGE,11:> 10 to 50 ug/L,05:POSITIVE CHANGE
NLA06608-0421,1,NOT DONE,YES,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-73.7667433,43.095043,NY,Region_2,"(20,50]",,NLALake,Panel_1,"NAP_NY_(20,50]",0.00433964,228.2156967,245.2421149,NY,YES,EHIGH,NAP,83,VII,Mostly Glaciated Dairy Region,VII,MAN-MADE,EHIGH MAN-MADE,B,SO-SO,2,2020003,,,YES (Top only),00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED
NLA06608-0425,1,NOT DONE,YES,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-111.8406157,38.6023118,UT,Region_8,>100,,NLALake,Panel_1,WMT_UT_>100,0.06352977,15.58912282,4.9754326,UT,NO,WMTNS,WMT,19,II,Western Forested Mountains,II,MAN-MADE,WMTNS MAN-MADE,G,SO-SO,16,16030002,,,YES (Top only),00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED
NLA06608-0426,1,YES,YES,5.89,6.89,-1,No,622.84,461.18,161.66,Yes,YES,YES,PROB_Lake,Target_Sampled,Target,-85.0738813,43.8382238,MI,Region_5,>100,,NLALake,Panel_1,UMW_MI_>100,0.0142675,69.41462169,33.1702585,MI_LP,NO,PLNLOW,UMW,50,VIII,Nutrient Poor Largely Glaciated Upper Midwest and Northeast,VIII,NATURAL,PLNLOW NATURAL,C,SO-SO,4,4080202,,,YES (Both),09:> -5 to +5 ug/L,04:NO CHANGE,14:> 150 to 200 ug/L,05:POSITIVE CHANGE
NLA06608-0432,1,NOT DONE,YES,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-90.0717,34.720922,MS,Region_4,>100,NESLake,NLALake,Panel_1,NESLake,0.12642225,7.83385336,3.8765397,MS,YES,PLNLOW,CPL,74,IX,Southeastern Temperate Forested Plains and Hills,IX,MAN-MADE,PLNLOW MAN-MADE,D,SO-SO,8,8030204,,,YES (Top only),00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED
NLA06608-0433,1,YES,YES,19.64,24.49,-4.85,Yes,478.31,581.12,-102.8,Yes,YES,YES,PROB_Lake,Target_Sampled,Target,-73.292627,44.5225114,VT,Region_1,>100,,NLALake,Panel_1,NAP_VT_>100,0.08404545,2.97459694,8.8466084,VT,YES,EHIGH,NAP,83,VII,Mostly Glaciated Dairy Region,VII,NATURAL,EHIGH NATURAL,B,SO-SO,2,2010000,,,YES (Both),09:> -5 to +5 ug/L,04:NO CHANGE,07:> -150 to -100 ug,03:NEGATIVE CHANGE
NLA06608-0435,1,YES (LOST SAMPLE),YES,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-90.6981382,45.1682657,WI,Region_5,>100,,NLALake,Panel_1,UMW_WI_>100,0.01464239,67.63740898,64.9960344,WI,NO,PLNLOW,UMW,50,VIII,Nutrient Poor Largely Glaciated Upper Midwest and Northeast,VIII,MAN-MADE,PLNLOW MAN-MADE,C,SO-SO,7,7050005,,,YES (Top only),00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED
NLA06608-0436,1,NOT DONE,YES,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-92.9382529,34.4519776,AR,Region_6,>100,NESLake,NLALake,Panel_1,NESLake,0.12642225,7.83385336,3.8014812,AR,YES,EHIGH,SAP,36,XI,The Central and Eastern Forested Uplands,XI,MAN-MADE,EHIGH MAN-MADE,A,SO-SO,8,8040101,,,YES (Top only),00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED
NLA06608-0439,1,YES,YES,309.49,500.33,-190.84,Yes,3683.57,4211.07,-527.5,Yes,NO,YES,PROB_Lake,Lake_Shallow,NonTarget,-99.2311106,45.6434979,SD,Region_8,"(10,20]",,NLALake,Panel_1,"NPL_SD_(10,20]",0.02463546,40.20113804,20.308032,SD,NO,PLNLOW,NPL,42,V,South Central Cultivated Great Plains,V,NATURAL,PLNLOW NATURAL,E,TRASH,10,10160007,,,YES (Both),01:INSUFF. CORE LEN.,01:INSUFF. CORE LEN.,01:INSUFF. CORE LEN.,01:INSUFF. CORE LEN.
NLA06608-0440,1,NOT DONE,YES,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-97.3481023,36.2389426,OK,Region_6,>100,,NLALake,Panel_1,SPL_OK_>100,0.07157412,13.83703171,3.8002126,OK,YES,PLNLOW,SPL,27,V,South Central Cultivated Great Plains,V,MAN-MADE,PLNLOW MAN-MADE,C,TRASH,11,11060006,,,YES (Top only),00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED
NLA06608-0442,1,YES,YES,682.18,900.63,-218.45,Yes,6964.18,9007.47,-2043.29,Yes,NO,YES,PROB_Lake,Target_Sampled,Target,-101.9047579,48.2861019,ND,Region_8,"(20,50]",,NLALake,Panel_1,"NPL_ND_(20,50]",0.0165211,59.94596611,54.0204397,ND,NO,PLNLOW,NPL,42,V,South Central Cultivated Great Plains,V,NATURAL,PLNLOW NATURAL,E,TRASH,10,10110101,,,YES (Both),01:INSUFF. CORE LEN.,01:INSUFF. CORE LEN.,01:INSUFF. CORE LEN.,01:INSUFF. CORE LEN.
NLA06608-0444,1,NOT DONE,YES,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-89.9116161,34.1657892,MS,Region_4,"(4,10]",,NLALake,Panel_1,"(4,10]",0.00131289,754.345388,373.2837123,MS,NO,PLNLOW,CPL,74,IX,Southeastern Temperate Forested Plains and Hills,IX,MAN-MADE,PLNLOW MAN-MADE,D,SO-SO,8,8030203,,,YES (Top only),00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED
NLA06608-0445,1,NOT DONE,YES,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-81.0154886,40.0407566,OH,Region_5,"(20,50]",,NLALake,Panel_1,"SAP_OH_(20,50]",0.02943198,33.64956123,28.8221929,OH,YES,EHIGH,SAP,70,XI,The Central and Eastern Forested Uplands,XI,MAN-MADE,EHIGH MAN-MADE,A,TRASH,5,5030106,,,YES (Top only),00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED
NLA06608-0447,1,NOT DONE,YES,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-82.8760354,38.4796138,KY,Region_4,"(50,100]",,NLALake,Panel_1,"SAP_KY_(50,100]",0.12271009,8.07083884,2.9665016,KY,NO,EHIGH,SAP,70,XI,The Central and Eastern Forested Uplands,XI,MAN-MADE,EHIGH MAN-MADE,A,SO-SO,5,5090104,,,YES (Top only),00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED
NLA06608-0449,1,YES,YES,35.1,44.7,-9.6,Yes,567.57,706.42,-138.85,Yes,YES,YES,PROB_Lake,Target_Sampled,Target,-117.6915241,48.1358037,WA,Region_10,"(20,50]",,NLALake,Panel_1,"WMT_WA_(20,50]",0.01374344,72.06151606,21.4982483,WA,NO,WMTNS,WMT,15,II,Western Forested Mountains,II,NATURAL,WMTNS NATURAL,F,SO-SO,17,17020003,,,YES (Both),08:> -15 to -5 ug/L,03:NEGATIVE CHANGE,07:> -150 to -100 ug,03:NEGATIVE CHANGE
NLA06608-0452,1,NOT DONE,YES,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-105.0360311,39.8068455,CO,Region_8,"(4,10]",,NLALake,Panel_1,"(4,10]",0.00131289,754.345388,325.1141919,CO,YES,PLNLOW,SPL,25,V,South Central Cultivated Great Plains,V,MAN-MADE,PLNLOW MAN-MADE,E,SO-SO,10,10190004,,,YES (Top only),00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED
NLA06608-0453,1,YES,YES,42.11,16.03,26.07,Yes,510.13,248.1,262.03,Yes,NO,YES,PROB_Lake,Target_Sampled,Target,-81.7702539,28.5733236,FL,Region_4,>100,NESLake,NLALake,Panel_1,NESLake,0.12642225,7.83385336,2.0828908,FL,YES,PLNLOW,CPL,75,XII,Southeastern Coastal Plain,CPL,NATURAL,PLNLOW NATURAL,D,SO-SO,3,3080102,,,YES (Both),01:INSUFF. CORE LEN.,01:INSUFF. CORE LEN.,01:INSUFF. CORE LEN.,01:INSUFF. CORE LEN.
NLA06608-0454,1,YES,YES,37.4,51.14,-13.74,Yes,837.96,822.33,15.63,Yes,UNCERTAIN,YES,PROB_Lake,Target_Sampled,Target,-71.1989894,41.9709889,MA,Region_1,>100,,NLALake,Panel_1,NAP_MA_>100,0.02087097,47.45218787,30.4452118,MA,YES,EHIGH,NAP,59,XIV,Eastern Coastal Plain,CPL,MAN-MADE,EHIGH MAN-MADE,B,SO-SO,1,1090004,,,YES (Both),01:INSUFF. CORE LEN.,01:INSUFF. CORE LEN.,01:INSUFF. CORE LEN.,01:INSUFF. CORE LEN.
NLA06608-0456,1,NOT DONE,YES,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-96.4758381,33.063257,TX,Region_6,>100,NESLake,NLALake,Panel_1,NESLake,0.12642225,7.83385336,2.1860872,TX,YES,PLNLOW,SPL,32,V,South Central Cultivated Great Plains,V,MAN-MADE,PLNLOW MAN-MADE,C,SO-SO,12,12030106,,,YES (Top only),00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED
NLA06608-0458,1,NOT DONE,YES,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-83.5418964,31.163782,GA,Region_4,>100,,NLALake,Panel_1,CPL_GA_>100,0.01416412,69.92126053,37.3115209,GA,NO,PLNLOW,CPL,65,IX,Southeastern Temperate Forested Plains and Hills,IX,MAN-MADE,PLNLOW MAN-MADE,D,SO-SO,3,3110204,,,YES (Top only),00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED
NLA06608-0459,1,NOT DONE,YES,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-86.8423449,34.2269109,AL,Region_4,"(50,100]",,NLALake,Panel_1,"SAP_AL_(50,100]",0.05502101,17.99991205,5.6298591,AL,YES,EHIGH,SAP,68,XI,The Central and Eastern Forested Uplands,XI,MAN-MADE,EHIGH MAN-MADE,A,SO-SO,3,3160109,,,YES (Top only),00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED
NLA06608-0462,1,YES,YES,10.44,16.7,-6.26,Yes,373.16,451.73,-78.57,Yes,UNCERTAIN,YES,PROB_Lake,Target_Sampled,Target,-89.293977,46.1990633,MI,Region_5,>100,,NLALake,Panel_1,UMW_MI_>100,0.0142675,69.41462169,37.8665425,MI_UP,NO,PLNLOW,UMW,50,VIII,Nutrient Poor Largely Glaciated Upper Midwest and Northeast,VIII,NATURAL,PLNLOW NATURAL,C,REF,7,7070001,,,YES (Both),01:INSUFF. CORE LEN.,01:INSUFF. CORE LEN.,01:INSUFF. CORE LEN.,01:INSUFF. CORE LEN.
NLA06608-0463,1,NOT DONE,YES,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-83.5209821,42.2117641,MI,Region_5,>100,NESLake,NLALake,Panel_1,NESLake,0.12642225,7.83385336,3.7434612,MI_LP,YES,PLNLOW,UMW,56,VII,Mostly Glaciated Dairy Region,VII,MAN-MADE,PLNLOW MAN-MADE,E,SO-SO,4,4090005,,,YES (Top only),00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED
NLA06608-0467,1,YES,YES,36.17,69.69,-33.52,Yes,972.79,1164.51,-191.72,Yes,YES,YES,PROB_Lake,Target_Sampled,Target,-89.3644564,43.5459215,WI,Region_5,>100,NESLake,NLALake,Panel_1,NESLake,0.12642225,7.83385336,7.5279259,WI,YES,PLNLOW,TPL,53,VII,Mostly Glaciated Dairy Region,VII,NATURAL,PLNLOW NATURAL,C,SO-SO,4,4030201,,,YES (Both),06:> -35 to -25 ug/L,03:NEGATIVE CHANGE,06:> -200 to -150 ug,03:NEGATIVE CHANGE
NLA06608-0468,1,YES,YES,16.44,10.99,5.45,Yes,244.1,170.45,73.65,Yes,YES,YES,PROB_Lake,Target_Sampled,Target,-106.6003635,39.4324094,CO,Region_8,"(4,10]",,NLALake,Panel_1,"(4,10]",0.00131289,754.345388,325.1141919,CO,NO,WMTNS,WMT,21,II,Western Forested Mountains,II,NATURAL,WMTNS NATURAL,F,REF,14,14010004,,,YES (Both),10:> 5 to 15 ug/L,05:POSITIVE CHANGE,12:> 50 to 100 ug/L,05:POSITIVE CHANGE
NLA06608-0469,1,YES,YES,10.02,9.83,0.19,No,274.06,288.45,-14.39,Yes,YES,YES,PROB_Lake,Target_Sampled,Target,-75.3378393,41.9097341,PA,Region_3,"(10,20]",,NLALake,Panel_1,"NAP_PA_(10,20]",0.00721079,137.3459869,57.5752892,PA,NO,EHIGH,NAP,60,VII,Mostly Glaciated Dairy Region,VII,NATURAL,EHIGH NATURAL,B,SO-SO,2,2040101,,,YES (Both),09:> -5 to +5 ug/L,04:NO CHANGE,09:> -50 to -10 ug/L,03:NEGATIVE CHANGE
NLA06608-0470,1,YES,YES,5.23,7.74,-2.52,Yes,202.49,264.26,-61.77,Yes,YES,YES,PROB_Lake,Target_Sampled,Target,-71.2654292,43.623088,NH,Region_1,>100,,NLALake,Panel_1,NAP_NH_>100,0.03305491,29.96145938,22.3661437,NH,YES,EHIGH,NAP,58,VIII,Nutrient Poor Largely Glaciated Upper Midwest and Northeast,VIII,NATURAL,EHIGH NATURAL,B,SO-SO,1,1070002,,,YES (Both),09:> -5 to +5 ug/L,04:NO CHANGE,08:> -100 to -50 ug/,03:NEGATIVE CHANGE
NLA06608-0471,1,YES,YES,21.99,69.74,-47.75,Yes,922.05,1005.68,-83.63,Yes,YES,YES,PROB_Lake,Target_Sampled,Target,-97.2623188,45.4401574,SD,Region_8,>100,NESLake,NLALake,Panel_1,NESLake,0.12642225,7.83385336,3.9573543,SD,NO,PLNLOW,TPL,46,VI,Corn Belt and Northern Great Plains,VI,NATURAL,PLNLOW NATURAL,E,REF,10,10160010,,,YES (Both),04:> -55 to -45 ug/L,03:NEGATIVE CHANGE,08:> -100 to -50 ug/,03:NEGATIVE CHANGE
NLA06608-0472,1,NOT DONE,YES,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-96.2383568,34.5706114,OK,Region_6,>100,,NLALake,Panel_1,SAP_OK_>100,0.03954803,25.0422962,6.8776347,OK,NO,EHIGH,SAP,37,IX,Southeastern Temperate Forested Plains and Hills,IX,MAN-MADE,EHIGH MAN-MADE,A,SO-SO,11,11140103,,,YES (Top only),00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED
NLA06608-0473,1,NOT DONE,YES,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-80.2033846,35.5162948,NC,Region_4,>100,NESLake,NLALake,Panel_1,NESLake,0.12642225,7.83385336,5.9391989,NC,YES,EHIGH,SAP,45,IX,Southeastern Temperate Forested Plains and Hills,IX,MAN-MADE,EHIGH MAN-MADE,A,SO-SO,3,3040103,,,YES (Top only),00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED
NLA06608-0479,1,NOT DONE,YES,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-83.0042548,39.9206178,OH,Region_5,"(10,20]",,NLALake,Panel_1,"TPL_OH_(10,20]",0.01713606,57.79470445,49.5034722,OH,YES,PLNLOW,TPL,55,VI,Corn Belt and Northern Great Plains,VI,NATURAL,PLNLOW NATURAL,E,SO-SO,5,5060001,,,YES (Top only),00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED
NLA06608-0480,1,NO CORE SAMPLE,YES,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-90.542139,37.9943376,MO,Region_7,"(10,20]",,NLALake,Panel_1,"SAP_MO_(10,20]",0.01377974,71.87171715,19.1212476,MO,YES,EHIGH,SAP,39,XI,The Central and Eastern Forested Uplands,XI,MAN-MADE,EHIGH MAN-MADE,A,TRASH,7,7140104,,,NO,02:NO DATA,02:NO DATA,02:NO DATA,02:NO DATA
NLA06608-0480,2,NOT DONE,NO,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-90.542139,37.9943376,MO,Region_7,"(10,20]",,NLALake,Panel_1,"SAP_MO_(10,20]",0.01377974,71.87171715,19.1212476,MO,YES,EHIGH,SAP,39,XI,The Central and Eastern Forested Uplands,XI,MAN-MADE,EHIGH MAN-MADE,A,TRASH,7,7140104,,,YES (Top only),00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED
NLA06608-0483,1,NOT DONE,YES,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-101.1563449,29.4914702,TX,Region_6,>100,NESLake,NLALake,Panel_1,NESLake,0.12642225,7.83385336,2.1860872,TX,NO,WMTNS,XER,24,III,Xeric West,III,MAN-MADE,WMTNS MAN-MADE,G,SO-SO,13,13040212,,,YES (Top only),00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED
NLA06608-0484,1,NOT DONE,YES,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-88.4898179,36.3106781,TN,Region_4,"(20,50]",,NLALake,Panel_1,"CPL_TN_(20,50]",0.01878576,52.71936112,57.5744609,TN,NO,PLNLOW,CPL,65,IX,Southeastern Temperate Forested Plains and Hills,IX,MAN-MADE,PLNLOW MAN-MADE,D,SO-SO,8,8010203,,,YES (Top only),00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED
NLA06608-0488,1,NOT DONE,YES,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-95.9867253,37.1924901,KS,Region_7,"(10,20]",,NLALake,Panel_1,"SPL_KS_(10,20]",0.03464,28.59045899,15.2426706,KS,NO,PLNLOW,SPL,29,IX,Southeastern Temperate Forested Plains and Hills,IX,MAN-MADE,PLNLOW MAN-MADE,C,SO-SO,11,11070106,,,YES (Top only),00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED
NLA06608-0489,1,NOT DONE,YES,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-78.0076252,38.4936321,VA,Region_3,"(20,50]",,NLALake,Panel_1,"SAP_VA_(20,50]",0.02718666,36.42865445,18.6834939,VA,YES,EHIGH,SAP,64,IX,Southeastern Temperate Forested Plains and Hills,IX,MAN-MADE,EHIGH MAN-MADE,B,TRASH,2,2080103,,,YES (Top only),00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED
NLA06608-0491,1,YES,YES,11.42,11.46,-0.04,No,563.97,799.24,-235.27,Yes,NO,YES,PROB_Lake,Target_Sampled,Target,-85.734175,41.413144,IN,Region_5,"(50,100]",,NLALake,Panel_1,"UMW_IN_(50,100]",0.07748997,12.78066524,3.9994188,IN,YES,PLNLOW,UMW,56,VII,Mostly Glaciated Dairy Region,VII,NATURAL,PLNLOW NATURAL,E,SO-SO,4,4050001,,,YES (Both),01:INSUFF. CORE LEN.,01:INSUFF. CORE LEN.,01:INSUFF. CORE LEN.,01:INSUFF. CORE LEN.
NLA06608-0493,1,NOT DONE,YES,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-77.6455552,38.7712489,VA,Region_3,>100,,NLALake,Panel_1,SAP_VA_>100,0.0668647,14.81160202,7.5965604,VA,YES,EHIGH,SAP,64,IX,Southeastern Temperate Forested Plains and Hills,IX,MAN-MADE,EHIGH MAN-MADE,B,SO-SO,2,2070010,,,YES (Top only),00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED
NLA06608-0494,1,YES,YES,14.74,20.3,-5.55,Yes,562.13,681.83,-119.7,Yes,NO,YES,PROB_Lake,Target_Sampled,Target,-94.5335402,46.8221905,MN,Region_5,>100,,NLALake,Panel_1,UMW_MN_>100,0.00616234,160.7137579,116.1182748,MN,NO,PLNLOW,UMW,50,VIII,Nutrient Poor Largely Glaciated Upper Midwest and Northeast,VIII,NATURAL,PLNLOW NATURAL,C,SO-SO,7,7010105,,,YES (Both),01:INSUFF. CORE LEN.,01:INSUFF. CORE LEN.,01:INSUFF. CORE LEN.,01:INSUFF. CORE LEN.
NLA06608-0495,1,NOT DONE,YES,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-107.4380582,38.4468179,CO,Region_8,>100,,NLALake,Panel_1,WMT_CO_>100,0.04226383,23.43312119,10.0994059,CO,NO,WMTNS,WMT,21,II,Western Forested Mountains,II,MAN-MADE,WMTNS MAN-MADE,G,REF,14,14020002,,,YES (Top only),00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED
NLA06608-0496,1,NOT DONE,YES,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-108.0524686,48.7517132,MT,Region_8,"(10,20]",,NLALake,Panel_1,"NPL_MT_(10,20]",0.02600059,38.09041593,8.2393469,MT,NO,PLNLOW,NPL,42,V,South Central Cultivated Great Plains,V,MAN-MADE,PLNLOW MAN-MADE,E,TRASH,10,10050010,,,YES (Top only),00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED
NLA06608-0497,1,NOT DONE,YES,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-111.8159376,42.1076527,ID,Region_10,"(20,50]",,NLALake,Panel_1,"XER_ID_(20,50]",0.0333474,29.69866921,9.2062365,ID,YES,WMTNS,XER,13,III,Xeric West,III,MAN-MADE,WMTNS MAN-MADE,G,SO-SO,16,16010202,,,YES (Top only),00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED
NLA06608-0498,1,YES,YES,16.69,30.06,-13.37,Yes,417.69,432.2,-14.51,Yes,YES,YES,PROB_Lake,Target_Sampled,Target,-71.9513309,41.9509552,CT,Region_1,"(20,50]",,NLALake,Panel_1,"NAP_CT_(20,50]",0.02105084,47.04674385,53.0191684,CT,YES,EHIGH,NAP,59,XIV,Eastern Coastal Plain,CPL,NATURAL,EHIGH NATURAL,B,SO-SO,1,1100001,,,YES (Both),08:> -15 to -5 ug/L,03:NEGATIVE CHANGE,09:> -50 to -10 ug/L,03:NEGATIVE CHANGE
NLA06608-0500,1,NOT DONE,YES,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-94.2146709,34.2145297,AR,Region_6,>100,,NLALake,Panel_1,SAP_AR_>100,0.02750584,36.00593564,17.4723578,AR,NO,EHIGH,SAP,36,XI,The Central and Eastern Forested Uplands,XI,MAN-MADE,EHIGH MAN-MADE,A,SO-SO,11,11140109,,,YES (Top only),00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED
NLA06608-0501,1,NOT DONE,YES,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-122.6247455,37.9463519,CA,Region_9,"(50,100]",,NLALake,Panel_1,"XER_CA_(50,100]",0.02833407,34.95343954,20.8926961,CA,YES,WMTNS,XER,6,III,Xeric West,III,MAN-MADE,WMTNS MAN-MADE,F,REF,18,18050005,,,YES (Top only),00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED
